LANP_label,ENG_label,AgeGroup,ST_label,n
Turkish,Very well,Senior,Florida/FL,446
Turkish,Well,Adult,Maryland/MD,446
Czech,Very well,Adult,Utah/UT,445
Korean,Very well,Senior,Arizona/AZ,445
Marshallese,Very well,Adult,Arizona/AZ,445
Other Mande languages,Very well,Adult,California/CA,445
Vietnamese,Well,Youth,Michigan/MI,445
Arabic,Not at all,Adult,Florida/FL,444
French,Well,Youth,Colorado/CO,444
Irish,Well,Adult,New York/NY,444
Jamaican Creole English,Very well,Youth,Massachusetts/MA,444
Other Niger-Congo languages,Well,Adult,Minnesota/MN,444
Urdu,Very well,Youth,Arizona/AZ,444
Vietnamese,Not at all,Senior,Alabama/AL,444
Cantonese,Not well,Senior,Florida/FL,443
Farsi,Very well,Youth,Arizona/AZ,443
Hindi,Not well,Adult,Ohio/OH,443
Muskogean languages,Very well,Adult,Florida/FL,443
Russian,Well,Adult,Utah/UT,443
French,Very well,Youth,Nebraska/NE,442
Greek,Very well,Youth,Indiana/IN,442
Italian,Very well,Senior,Oregon/OR,442
Polish,Not well,Youth,New York/NY,442
Vietnamese,Very well,Senior,Illinois/IL,442
Amharic,Well,Adult,Pennsylvania/PA,441
Arabic,Well,Senior,Arizona/AZ,441
Kurdish,Well,Youth,Texas/TX,441
Ojibwa,Very well,Adult,New Jersey/NJ,441
Other Niger-Congo languages,Very well,Youth,Maryland/MD,441
Slovak,Very well,Senior,New York/NY,441
Urdu,Not at all,Senior,California/CA,441
Czech,Well,Adult,Florida/FL,440
Hungarian,Very well,Senior,Illinois/IL,440
Japanese,Very well,Youth,South Carolina/SC,440
Malayalam,Well,Youth,California/CA,440
Other and unspecified languages,Very well,Adult,Utah/UT,440
Portuguese,Very well,Adult,Delaware/DE,440
Romanian,Not well,Senior,Florida/FL,440
Romanian,Very well,Youth,Pennsylvania/PA,440
Telugu,Very well,Youth,Kentucky/KY,440
Thai,Very well,Senior,Maryland/MD,440
Tigrinya,Very well,Adult,Nevada/NV,440
Burmese,Well,Adult,Illinois/IL,439
Khmer,Not well,Senior,Minnesota/MN,439
Khmer,Well,Senior,Massachusetts/MA,439
Other Bantu languages,Not well,Youth,Tennessee/TN,439
Other languages of Asia,Well,Adult,Washington/WA,439
Ukrainian,Well,Senior,Florida/FL,439
Bengali,Well,Adult,Oregon/OR,438
French,Well,Senior,Michigan/MI,438
German,Very well,Youth,Oklahoma/OK,438
Korean,Not well,Youth,Hawaii/HI,438
Marathi,Very well,Adult,Missouri/MO,438
Other Niger-Congo languages,Well,Adult,North Carolina/NC,438
Vietnamese,Not at all,Adult,Iowa/IA,438
Vietnamese,Very well,Youth,Wisconsin/WI,438
Amharic,Very well,Adult,Kansas/KS,437
Armenian,Well,Senior,Massachusetts/MA,437
Bengali,Very well,Adult,Alabama/AL,437
Bengali,Well,Youth,New Jersey/NJ,437
Cantonese,Not at all,Adult,Hawaii/HI,437
Czech,Very well,Adult,Oregon/OR,437
Japanese,Very well,Adult,Delaware/DE,437
Korean,Not well,Senior,Alabama/AL,437
Mandarin,Very well,Youth,Louisiana/LA,437
Other Afro-Asiatic languages,Very well,Adult,Washington/WA,437
Other Bantu languages,Very well,Adult,Utah/UT,437
Other Native North American languages,Very well,Adult,Idaho/ID,437
Bengali,Not well,Senior,Florida/FL,436
Cantonese,Well,Youth,Texas/TX,436
Chinese,Not at all,Adult,Kansas/KS,436
French,Well,Senior,Rhode Island/RI,436
Malayalam,Well,Senior,Illinois/IL,436
Other Mande languages,Well,Adult,Georgia/GA,436
Pakistan N.E.C.,Very well,Youth,New York/NY,436
Portuguese,Not well,Youth,Pennsylvania/PA,436
Punjabi,Very well,Youth,Arizona/AZ,436
Somali,Well,Adult,Virginia/VA,436
Thai,Well,Senior,Virginia/VA,436
Akan (incl. Twi),Well,Adult,Colorado/CO,435
Filipino,Well,Adult,South Carolina/SC,435
Kurdish,Well,Adult,New York/NY,435
Mandarin,Very well,Youth,Hawaii/HI,435
Norwegian,Very well,Senior,North Dakota/ND,435
Thai,Very well,Adult,Minnesota/MN,435
Afrikaans,Very well,Adult,North Dakota/ND,434
Akan (incl. Twi),Very well,Adult,Delaware/DE,434
Akan (incl. Twi),Very well,Adult,Louisiana/LA,434
Arabic,Not at all,Senior,Arizona/AZ,434
Chinese,Very well,Youth,New Hampshire/NH,434
Greek,Very well,Senior,South Carolina/SC,434
Haitian,Very well,Adult,Indiana/IN,434
Japanese,Not well,Youth,Ohio/OH,434
Russian,Well,Youth,Maryland/MD,434
Bengali,Very well,Adult,Rhode Island/RI,433
Bosnian,Well,Adult,Virginia/VA,433
Cantonese,Not well,Senior,Maryland/MD,433
Gujarati,Not well,Adult,Ohio/OH,433
Hebrew,Very well,Adult,Wisconsin/WI,433
Italian,Well,Senior,Maryland/MD,433
Korean,Well,Youth,Illinois/IL,433
Punjabi,Not well,Adult,Massachusetts/MA,433
Telugu,Well,Adult,Wisconsin/WI,433
Thai,Well,Adult,Minnesota/MN,433
German,Not well,Adult,New Jersey/NJ,432
Haitian,Not well,Youth,Massachusetts/MA,432
Hindi,Well,Youth,Washington/WA,432
Lao,Very well,Youth,North Carolina/NC,432
Other English-based Creole languages,Very well,Youth,Pennsylvania/PA,432
Somali,Well,Youth,Missouri/MO,432
Tamil,Well,Adult,Arizona/AZ,432
Armenian,Very well,Adult,Oregon/OR,431
Assyrian Neo-Aramaic,Well,Adult,Arizona/AZ,431
Burmese,Well,Adult,Iowa/IA,431
Edoid languages,Very well,Adult,New Jersey/NJ,431
Igbo,Very well,Youth,New York/NY,431
Pashto,Very well,Adult,Colorado/CO,431
Polish,Very well,Senior,Indiana/IN,431
Portuguese,Very well,Senior,Georgia/GA,431
Spanish,Very well,Senior,North Dakota/ND,431
Swahili,Not well,Adult,Tennessee/TN,431
Swahili,Well,Adult,Pennsylvania/PA,431
Afrikaans,Very well,Adult,Ohio/OH,430
Assyrian Neo-Aramaic,Not at all,Senior,California/CA,430
Cantonese,Not at all,Senior,Maryland/MD,430
Chinese,Well,Senior,Indiana/IN,430
French,Not well,Senior,Pennsylvania/PA,430
Greek,Well,Senior,Michigan/MI,430
Other languages of Asia,Not well,Adult,Illinois/IL,430
Other languages of Asia,Very well,Adult,Oregon/OR,430
Telugu,Not well,Senior,Illinois/IL,430
Turkish,Very well,Adult,Nevada/NV,430
Burmese,Well,Youth,Texas/TX,429
Indonesian,Well,Adult,Georgia/GA,429
Japanese,Well,Senior,Georgia/GA,429
Korean,Well,Senior,Tennessee/TN,429
Nilo-Saharan languages,Well,Adult,Nebraska/NE,429
Other languages of Africa,Very well,Adult,Virginia/VA,429
Other languages of Asia,Very well,Youth,Washington/WA,429
Swahili,Very well,Youth,Idaho/ID,429
Tamil,Very well,Senior,Virginia/VA,429
Urdu,Not at all,Adult,Virginia/VA,429
Amharic,Well,Adult,Kansas/KS,428
Hindi,Well,Senior,Ohio/OH,428
Italian,Well,Senior,Texas/TX,428
Korean,Not well,Senior,Missouri/MO,428
Manding languages,Very well,Youth,New Jersey/NJ,428
Nepali,Very well,Adult,Nevada/NV,428
Thai,Not well,Adult,Pennsylvania/PA,428
Uto-Aztecan languages,Very well,Senior,Nevada/NV,428
Vietnamese,Not at all,Adult,Oklahoma/OK,428
Arabic,Very well,Adult,North Dakota/ND,427
Armenian,Very well,Adult,Connecticut/CT,427
Hindi,Very well,Adult,Hawaii/HI,427
Other Bantu languages,Well,Adult,North Carolina/NC,427
Other languages of Africa,Not well,Adult,New York/NY,427
Serbocroatian,Very well,Adult,Utah/UT,427
Urdu,Very well,Adult,New Hampshire/NH,427
Wolof,Very well,Adult,Florida/FL,427
Cebuano,Not well,Senior,California/CA,426
Danish,Very well,Adult,North Carolina/NC,426
Farsi,Very well,Adult,Maine/ME,426
Hmong,Not well,Adult,Oklahoma/OK,426
Hmong,Well,Adult,Missouri/MO,426
Korean,Very well,Adult,New Hampshire/NH,426
Lao,Very well,Youth,Washington/WA,426
Mongolian,Not at all,Adult,Illinois/IL,426
Nilo-Saharan languages,Very well,Youth,Texas/TX,426
Other Afro-Asiatic languages,Very well,Youth,New Jersey/NJ,426
Other and unspecified languages,Very well,Youth,Washington/WA,426
Other Bantu languages,Very well,Youth,Tennessee/TN,426
Swahili,Very well,Youth,New Mexico/NM,426
Dutch,Not well,Youth,New York/NY,425
French,Well,Adult,Utah/UT,425
Hmong,Not at all,Senior,Wisconsin/WI,425
Khmer,Well,Adult,New York/NY,425
Korean,Very well,Senior,Oregon/OR,425
Other languages of Africa,Very well,Youth,Michigan/MI,425
Slovak,Very well,Adult,Texas/TX,425
Yoruba,Very well,Senior,California/CA,425
Albanian,Well,Youth,Michigan/MI,424
Haitian,Well,Youth,Pennsylvania/PA,424
Hebrew,Well,Youth,California/CA,424
Igbo,Well,Adult,Illinois/IL,424
Japanese,Not well,Adult,Minnesota/MN,424
Japanese,Well,Senior,Oregon/OR,424
Marshallese,Not well,Adult,Washington/WA,424
Norwegian,Very well,Senior,Wisconsin/WI,424
Serbian,Very well,Youth,New Jersey/NJ,424
Spanish,Well,Youth,Montana/MT,424
Swahili,Very well,Adult,Nebraska/NE,424
Swahili,Very well,Senior,Texas/TX,424
Vietnamese,Very well,Senior,Louisiana/LA,424
Cebuano,Very well,Senior,Florida/FL,423
Chaldean Neo-Aramaic,Not at all,Senior,Michigan/MI,423
Japanese,Very well,Senior,Utah/UT,423
Karen languages,Not well,Youth,Minnesota/MN,423
Konkani,Very well,Youth,California/CA,423
Mandarin,Not well,Adult,Minnesota/MN,423
Min Nan Chinese,Very well,Adult,Georgia/GA,423
Mongolian,Very well,Adult,Washington/WA,423
Nepali,Very well,Adult,Oklahoma/OK,423
Pashto,Not well,Youth,New York/NY,423
Polish,Well,Senior,Texas/TX,423
Romanian,Very well,Youth,Missouri/MO,423
Russian,Very well,Adult,Mississippi/MS,423
Sinhala,Very well,Adult,Ohio/OH,423
Turkish,Well,Adult,North Carolina/NC,423
Burmese,Not well,Adult,Oklahoma/OK,422
Gbe languages,Very well,Adult,Illinois/IL,422
Jamaican Creole English,Very well,Senior,Georgia/GA,422
Mandarin,Very well,Youth,Missouri/MO,422
Other Eastern Malayo-Polynesian languages,Very well,Adult,Kansas/KS,422
Other Indo-European languages,Very well,Youth,Washington/WA,422
Telugu,Not well,Senior,New Jersey/NJ,422
Urdu,Not at all,Adult,California/CA,422
Albanian,Very well,Youth,California/CA,421
Croatian,Very well,Adult,Missouri/MO,421
Dutch,Very well,Senior,Maryland/MD,421
Farsi,Very well,Youth,Colorado/CO,421
Khmer,Not well,Adult,Colorado/CO,421
Marathi,Very well,Senior,Texas/TX,421
Polish,Well,Adult,Virginia/VA,421
Portuguese,Very well,Youth,Indiana/IN,421
Swahili,Not well,Youth,Ohio/OH,421
Vietnamese,Well,Adult,Maine/ME,421
Vietnamese,Well,Senior,Missouri/MO,421
Arabic,Very well,Senior,Colorado/CO,420
Bosnian,Very well,Youth,Connecticut/CT,420
Cebuano,Very well,Adult,Alabama/AL,420
Chinese,Well,Youth,Oregon/OR,420
French,Well,Senior,Ohio/OH,420
Kurdish,Very well,Youth,Texas/TX,420
Lao,Well,Adult,Colorado/CO,420
Lithuanian,Well,Adult,Florida/FL,420
Malayalam,Not at all,Senior,Texas/TX,420
Other Central and South American languages,Not at all,Adult,Colorado/CO,420
Pennsylvania German,Very well,Adult,Maryland/MD,420
Samoan,Very well,Youth,Hawaii/HI,420
Somali,Very well,Youth,Wisconsin/WI,420
Tagalog,Very well,Youth,Minnesota/MN,420
Tamil,Well,Adult,Missouri/MO,420
Uto-Aztecan languages,Well,Senior,Arizona/AZ,420
German,Not well,Senior,New York/NY,419
Greek,Well,Senior,North Carolina/NC,419
Greek,Well,Senior,Texas/TX,419
Gujarati,Very well,Adult,New Hampshire/NH,419
Igbo,Very well,Youth,North Carolina/NC,419
India N.E.C.,Very well,Youth,California/CA,419
Karen languages,Very well,Adult,New York/NY,419
Lao,Not well,Senior,New York/NY,419
Macedonian,Very well,Youth,Michigan/MI,419
Nepali,Very well,Youth,Illinois/IL,419
Nilo-Saharan languages,Well,Adult,Minnesota/MN,419
Other Afro-Asiatic languages,Well,Adult,Maryland/MD,419
Portuguese,Well,Adult,Kansas/KS,419
Russian,Very well,Youth,Oklahoma/OK,419
Serbian,Very well,Youth,Texas/TX,419
Bengali,Very well,Senior,Florida/FL,418
Chinese,Not at all,Senior,Missouri/MO,418
Chinese,Very well,Senior,Colorado/CO,418
Gujarati,Very well,Adult,Louisiana/LA,418
Mandarin,Very well,Youth,South Carolina/SC,418
Other Indo-Iranian languages,Very well,Adult,North Carolina/NC,418
Telugu,Not well,Adult,Massachusetts/MA,418
Yoruba,Very well,Senior,Pennsylvania/PA,418
Burmese,Well,Adult,Michigan/MI,417
Chamorro,Very well,Adult,Utah/UT,417
Lithuanian,Well,Adult,California/CA,417
Mandarin,Not well,Adult,Indiana/IN,417
Mandarin,Very well,Adult,New Mexico/NM,417
Mandarin,Well,Youth,Georgia/GA,417
Other Bantu languages,Very well,Youth,Maryland/MD,417
Other Indo-Iranian languages,Very well,Adult,Florida/FL,417
Pennsylvania German,Not well,Youth,Wisconsin/WI,417
Somali,Not well,Adult,Kentucky/KY,417
Swahili,Very well,Youth,Pennsylvania/PA,417
Telugu,Well,Adult,Colorado/CO,417
Ukrainian,Very well,Senior,Michigan/MI,417
Ukrainian,Well,Senior,New Jersey/NJ,417
Arabic,Not well,Youth,Massachusetts/MA,416
Assyrian Neo-Aramaic,Not well,Adult,Illinois/IL,416
German,Not well,Senior,Texas/TX,416
German,Not well,Youth,New York/NY,416
Hungarian,Very well,Adult,Missouri/MO,416
Lao,Very well,Adult,Idaho/ID,416
Lithuanian,Very well,Adult,Washington/WA,416
Malayalam,Very well,Adult,Nevada/NV,416
Swahili,Not at all,Adult,Pennsylvania/PA,416
Turkish,Very well,Youth,Georgia/GA,416
Cantonese,Not well,Senior,Michigan/MI,415
Chinese,Not at all,Senior,Connecticut/CT,415
Czech,Very well,Youth,Illinois/IL,415
Gujarati,Very well,Adult,Mississippi/MS,415
Italian,Well,Senior,Nevada/NV,415
Khmer,Not well,Youth,California/CA,415
Kurdish,Very well,Adult,Washington/WA,415
Malayalam,Very well,Adult,Nebraska/NE,415
Mandarin,Well,Adult,Oklahoma/OK,415
Serbian,Not well,Adult,New York/NY,415
Turkish,Well,Adult,Georgia/GA,415
Bengali,Not well,Youth,Michigan/MI,414
Chamorro,Very well,Adult,Arizona/AZ,414
Chinese,Not at all,Senior,Colorado/CO,414
Farsi,Not well,Senior,Washington/WA,414
Farsi,Very well,Senior,Colorado/CO,414
Greek,Very well,Senior,New Mexico/NM,414
Italian,Very well,Senior,Indiana/IN,414
Italian,Very well,Youth,Colorado/CO,414
Korean,Not well,Youth,Virginia/VA,414
Other Native North American languages,Very well,Youth,Wisconsin/WI,414
Polish,Not at all,Senior,Massachusetts/MA,414
Punjabi,Well,Adult,Nevada/NV,414
Tagalog,Very well,Adult,District of Columbia/DC,414
Telugu,Very well,Adult,West Virginia/WV,414
Amharic,Not at all,Adult,Virginia/VA,413
Cebuano,Very well,Adult,Virginia/VA,413
Chamorro,Very well,Senior,Texas/TX,413
Croatian,Well,Adult,Ohio/OH,413
German,Well,Youth,North Carolina/NC,413
Kurdish,Very well,Youth,New York/NY,413
Marathi,Very well,Senior,New Jersey/NJ,413
Polish,Not at all,Senior,New Jersey/NJ,413
Punjabi,Very well,Adult,Alabama/AL,413
Slovak,Very well,Youth,Florida/FL,413
Swahili,Very well,Youth,Virginia/VA,413
Amharic,Very well,Youth,Tennessee/TN,412
Assyrian Neo-Aramaic,Not well,Adult,Arizona/AZ,412
Burmese,Very well,Youth,Kansas/KS,412
Farsi,Very well,Youth,Pennsylvania/PA,412
French,Well,Youth,South Carolina/SC,412
Hindi,Very well,Youth,Oklahoma/OK,412
Italian,Very well,Senior,Delaware/DE,412
Jamaican Creole English,Very well,Adult,Tennessee/TN,412
Nepali,Very well,Adult,North Dakota/ND,412
Other English-based Creole languages,Very well,Senior,Maryland/MD,412
Romanian,Not well,Senior,Ohio/OH,412
Somali,Not well,Senior,Ohio/OH,412
Greek,Not well,Senior,Connecticut/CT,411
Gujarati,Very well,Senior,Arizona/AZ,411
Hindi,Well,Senior,Michigan/MI,411
Hmong,Well,Adult,Colorado/CO,411
Indonesian,Well,Adult,Colorado/CO,411
Korean,Well,Youth,Pennsylvania/PA,411
Mandarin,Not well,Senior,Illinois/IL,411
Turkish,Very well,Adult,Wisconsin/WI,411
Ukrainian,Well,Senior,Ohio/OH,411
Filipino,Very well,Senior,Oregon/OR,410
Fulah,Very well,Youth,Maryland/MD,410
Gujarati,Well,Senior,Maryland/MD,410
Hindi,Well,Youth,Pennsylvania/PA,410
Malay,Very well,Adult,Virginia/VA,410
Other Eastern Malayo-Polynesian languages,Very well,Adult,Ohio/OH,410
Other Eastern Malayo-Polynesian languages,Very well,Adult,Pennsylvania/PA,410
Polish,Very well,Senior,Washington/WA,410
Portuguese,Not at all,Youth,Massachusetts/MA,410
Thai,Not well,Adult,New Hampshire/NH,410
Ukrainian,Well,Senior,Illinois/IL,410
Chinese,Very well,Senior,Oklahoma/OK,409
German,Well,Youth,Minnesota/MN,409
Nepali,Not well,Adult,New Hampshire/NH,409
Oromo,Well,Adult,Washington/WA,409
Slovak,Very well,Adult,Connecticut/CT,409
Thai,Not well,Adult,Oregon/OR,409
Afrikaans,Very well,Youth,Florida/FL,408
Arabic,Well,Youth,Alabama/AL,408
Greek,Very well,Senior,Colorado/CO,408
Hebrew,Very well,Youth,Oregon/OR,408
Irish,Very well,Adult,Virginia/VA,408
Japanese,Very well,Senior,Oklahoma/OK,408
Korean,Well,Adult,District of Columbia/DC,408
Malayalam,Well,Youth,New York/NY,408
Other Eastern Malayo-Polynesian languages,Well,Adult,Missouri/MO,408
Punjabi,Not at all,Adult,Washington/WA,408
Punjabi,Not well,Senior,Virginia/VA,408
Serbian,Well,Adult,Indiana/IN,408
Finnish,Very well,Adult,Georgia/GA,407
Min Nan Chinese,Well,Senior,Florida/FL,407
Navajo,Very well,Adult,Nevada/NV,407
Other Indo-Iranian languages,Well,Adult,California/CA,407
Vietnamese,Not at all,Adult,Kansas/KS,407
Arabic,Very well,Senior,Connecticut/CT,406
Indonesian,Well,Adult,Florida/FL,406
Korean,Not well,Adult,South Carolina/SC,406
Lao,Very well,Youth,Arkansas/AR,406
Lithuanian,Very well,Senior,Florida/FL,406
Mandarin,Not well,Senior,Nevada/NV,406
Min Nan Chinese,Very well,Senior,Illinois/IL,406
Nepali,Very well,Youth,Minnesota/MN,406
Nepali,Well,Youth,Georgia/GA,406
Sinhala,Not well,Adult,New York/NY,406
Swahili,Not well,Youth,Texas/TX,406
Albanian,Well,Senior,Michigan/MI,405
Arabic,Very well,Youth,Maine/ME,405
Bulgarian,Very well,Youth,Nevada/NV,405
Cebuano,Well,Adult,New York/NY,405
Edoid languages,Very well,Adult,Illinois/IL,405
French,Not well,Senior,Connecticut/CT,405
Fulah,Very well,Youth,Pennsylvania/PA,405
Hungarian,Well,Adult,Texas/TX,405
Indonesian,Very well,Youth,Georgia/GA,405
Mandarin,Well,Adult,Iowa/IA,405
Other and unspecified languages,Very well,Adult,Connecticut/CT,405
Chamorro,Well,Adult,Washington/WA,404
French,Not well,Youth,Virginia/VA,404
German,Not well,Youth,Minnesota/MN,404
Greek,Very well,Adult,New Mexico/NM,404
Hmong,Not at all,Adult,Alaska/AK,404
Italian,Very well,Senior,New Hampshire/NH,404
Karen languages,Well,Adult,Indiana/IN,404
Khmer,Very well,Senior,Minnesota/MN,404
Other Indo-Iranian languages,Not well,Youth,New York/NY,404
Other Native North American languages,Very well,Adult,Massachusetts/MA,404
Pashto,Very well,Adult,Massachusetts/MA,404
Romanian,Well,Adult,Massachusetts/MA,404
Telugu,Well,Youth,New Jersey/NJ,404
Ukrainian,Very well,Senior,Connecticut/CT,404
Albanian,Well,Senior,Massachusetts/MA,403
Amharic,Very well,Youth,Kansas/KS,403
Burmese,Very well,Adult,Oregon/OR,403
Japanese,Well,Senior,Colorado/CO,403
Korean,Not well,Adult,Utah/UT,403
Mandarin,Very well,Youth,Kentucky/KY,403
Nepali,Not at all,Adult,Georgia/GA,403
Oromo,Very well,Adult,Oregon/OR,403
Russian,Not well,Adult,Virginia/VA,403
Swahili,Well,Adult,Illinois/IL,403
Tagalog,Very well,Youth,Connecticut/CT,403
Tamil,Very well,Adult,Alabama/AL,403
Telugu,Well,Adult,Arkansas/AR,403
Tongan,Very well,Adult,Arizona/AZ,403
Vietnamese,Well,Senior,Indiana/IN,403
Albanian,Very well,Senior,Illinois/IL,402
Amharic,Very well,Adult,Oklahoma/OK,402
Croatian,Very well,Adult,Indiana/IN,402
Igbo,Well,Adult,Massachusetts/MA,402
Indonesian,Well,Youth,California/CA,402
Karen languages,Well,Youth,North Carolina/NC,402
Khmer,Not at all,Adult,Pennsylvania/PA,402
Khmer,Well,Adult,Arizona/AZ,402
Tagalog,Very well,Adult,West Virginia/WV,402
Tagalog,Well,Senior,Georgia/GA,402
Tigrinya,Well,Adult,Massachusetts/MA,402
Croatian,Very well,Youth,New York/NY,401
Gbe languages,Well,Adult,Minnesota/MN,401
Korean,Not well,Senior,Arizona/AZ,401
Malayalam,Very well,Senior,Georgia/GA,401
Oromo,Well,Adult,Maryland/MD,401
Other Afro-Asiatic languages,Very well,Adult,Illinois/IL,401
Other and unspecified languages,Very well,Adult,Nevada/NV,401
Other and unspecified languages,Very well,Adult,Oregon/OR,401
Russian,Well,Youth,New Jersey/NJ,401
Swahili,Not well,Adult,North Carolina/NC,401
Swahili,Very well,Youth,Kansas/KS,401
Amharic,Well,Youth,Minnesota/MN,400
Korean,Well,Youth,Hawaii/HI,400
Latvian,Very well,Adult,Massachusetts/MA,400
Mandarin,Not at all,Senior,Florida/FL,400
Nepali,Well,Youth,Maryland/MD,400
Other Eastern Malayo-Polynesian languages,Well,Adult,Iowa/IA,400
Polish,Well,Adult,Indiana/IN,400
Punjabi,Not well,Senior,Texas/TX,400
Swahili,Well,Adult,Indiana/IN,400
Telugu,Not well,Adult,Florida/FL,400
Telugu,Well,Adult,Indiana/IN,400
Turkish,Very well,Senior,Illinois/IL,400
Ukrainian,Not well,Adult,Michigan/MI,400
Amharic,Not at all,Adult,Texas/TX,399
Armenian,Not well,Senior,New York/NY,399
Bengali,Very well,Youth,Colorado/CO,399
Burmese,Not well,Adult,Utah/UT,399
Dari,Not well,Adult,Texas/TX,399
Filipino,Well,Senior,Maryland/MD,399
French,Well,Senior,South Carolina/SC,399
Gujarati,Not well,Youth,New Jersey/NJ,399
Japanese,Not well,Senior,Texas/TX,399
Kannada,Very well,Youth,Tennessee/TN,399
Other Indo-European languages,Very well,Adult,North Carolina/NC,399
Polish,Very well,Senior,Minnesota/MN,399
Punjabi,Not at all,Senior,Ohio/OH,399
Russian,Not at all,Senior,Ohio/OH,399
Swahili,Not well,Youth,California/CA,399
Arabic,Well,Senior,Massachusetts/MA,398
Bosnian,Not well,Adult,Pennsylvania/PA,398
Chinese,Well,Youth,Colorado/CO,398
Ganda,Well,Adult,Massachusetts/MA,398
Hmong,Very well,Adult,Massachusetts/MA,398
Konkani,Very well,Adult,Pennsylvania/PA,398
Malayalam,Very well,Adult,South Carolina/SC,398
Polish,Very well,Adult,Maine/ME,398
Somali,Very well,Youth,Virginia/VA,398
Turkish,Not well,Senior,New Jersey/NJ,398
Vietnamese,Well,Adult,Idaho/ID,398
Bengali,Very well,Adult,District of Columbia/DC,397
Filipino,Not well,Adult,New Jersey/NJ,397
Ganda,Very well,Adult,Washington/WA,397
Irish,Very well,Adult,North Carolina/NC,397
Japanese,Not well,Youth,New York/NY,397
Kannada,Very well,Adult,Kansas/KS,397
Mandarin,Very well,Senior,Arizona/AZ,397
Other Eastern Malayo-Polynesian languages,Very well,Adult,Missouri/MO,397
Russian,Well,Adult,Nebraska/NE,397
Serbian,Very well,Senior,Indiana/IN,397
Somali,Not well,Adult,Wisconsin/WI,397
Tagalog,Very well,Youth,Wisconsin/WI,397
Telugu,Not well,Senior,California/CA,397
Urdu,Well,Adult,Wisconsin/WI,397
Arabic,Very well,Senior,Missouri/MO,396
Indonesian,Very well,Adult,Oregon/OR,396
Japanese,Not well,Youth,Texas/TX,396
Nepali,Well,Adult,Vermont/VT,396
Other Central and South American languages,Very well,Youth,Washington/WA,396
Russian,Well,Senior,Minnesota/MN,396
Shona,Very well,Adult,New Jersey/NJ,396
Telugu,Very well,Adult,Idaho/ID,396
Burmese,Well,Adult,Pennsylvania/PA,395
Cantonese,Well,Adult,Connecticut/CT,395
Kannada,Very well,Youth,Georgia/GA,395
Mongolian,Very well,Adult,Colorado/CO,395
Navajo,Very well,Adult,Idaho/ID,395
Other Native North American languages,Very well,Youth,Oregon/OR,395
Punjabi,Not at all,Senior,Indiana/IN,395
Romanian,Well,Youth,Texas/TX,395
Spanish,Not well,Youth,Maine/ME,395
Telugu,Well,Adult,Utah/UT,395
Turkish,Very well,Adult,Delaware/DE,395
Arabic,Not well,Youth,North Carolina/NC,394
Armenian,Very well,Adult,Rhode Island/RI,394
Bosnian,Well,Adult,North Carolina/NC,394
Farsi,Not well,Adult,Arizona/AZ,394
Hungarian,Very well,Senior,Arizona/AZ,394
Karen languages,Very well,Youth,Utah/UT,394
Korean,Not well,Adult,Minnesota/MN,394
Nepali,Well,Adult,Florida/FL,394
Swahili,Not well,Adult,Pennsylvania/PA,394
Ukrainian,Well,Adult,Virginia/VA,394
Akan (incl. Twi),Not well,Adult,Ohio/OH,393
Akan (incl. Twi),Well,Youth,Ohio/OH,393
Cantonese,Well,Adult,North Carolina/NC,393
Chinese,Very well,Senior,Missouri/MO,393
Chinese,Very well,Youth,New Mexico/NM,393
German,Well,Senior,Minnesota/MN,393
Gujarati,Very well,Adult,Rhode Island/RI,393
Indonesian,Well,Adult,Illinois/IL,393
Italian,Well,Senior,Rhode Island/RI,393
Karen languages,Not well,Adult,Georgia/GA,393
Karen languages,Very well,Adult,South Dakota/SD,393
Mandarin,Very well,Adult,New Hampshire/NH,393
Serbian,Not well,Adult,Alaska/AK,393
Sinhala,Very well,Adult,Florida/FL,393
Thai,Well,Adult,Connecticut/CT,393
Yoruba,Very well,Youth,Nevada/NV,393
Burmese,Well,Adult,North Carolina/NC,392
Cantonese,Very well,Adult,Indiana/IN,392
Danish,Very well,Adult,Illinois/IL,392
Hindi,Not well,Youth,New York/NY,392
Malayalam,Well,Adult,Massachusetts/MA,392
Pennsylvania German,Very well,Adult,Kansas/KS,392
Polish,Not well,Adult,Florida/FL,392
Romanian,Well,Senior,Ohio/OH,392
Thai,Very well,Senior,Arizona/AZ,392
Arabic,Not well,Adult,Idaho/ID,391
Hungarian,Very well,Adult,Indiana/IN,391
Igbo,Very well,Senior,Georgia/GA,391
Italian,Very well,Senior,Utah/UT,391
Korean,Not well,Youth,Washington/WA,391
Other Eastern Malayo-Polynesian languages,Very well,Adult,Tennessee/TN,391
Thai,Well,Adult,Kansas/KS,391
Bengali,Well,Senior,New Jersey/NJ,390
Bosnian,Not at all,Adult,Illinois/IL,390
Dutch,Very well,Youth,Illinois/IL,390
Hawaiian,Very well,Adult,Washington/WA,390
Hungarian,Well,Senior,Pennsylvania/PA,390
Mandarin,Well,Adult,Alabama/AL,390
Oromo,Well,Adult,Colorado/CO,390
Spanish,Not well,Adult,Vermont/VT,390
Vietnamese,Well,Youth,Arizona/AZ,390
Chinese,Not at all,Adult,Minnesota/MN,389
Farsi,Not well,Adult,Illinois/IL,389
India N.E.C.,Very well,Senior,New Jersey/NJ,389
Indonesian,Well,Adult,Virginia/VA,389
Japanese,Well,Senior,North Carolina/NC,389
Navajo,Not at all,Senior,New Mexico/NM,389
