LANP_label,ENG_label,AgeGroup,ST_label,n
Polish,Very well,Adult,Illinois/IL,67102
Spanish,Very well,Youth,Connecticut/CT,64475
Spanish,Not well,Adult,Colorado/CO,64267
Spanish,Very well,Adult,Missouri/MO,64248
Italian,Very well,Adult,New York/NY,64189
Spanish,Very well,Youth,Utah/UT,64150
Spanish,Well,Youth,New York/NY,64029
Arabic,Very well,Adult,Michigan/MI,63405
Punjabi,Very well,Adult,California/CA,62932
Portuguese,Very well,Adult,Florida/FL,62667
Spanish,Not at all,Senior,New York/NY,61089
Mandarin,Well,Adult,California/CA,61087
Spanish,Not at all,Adult,Illinois/IL,61015
Spanish,Very well,Youth,Indiana/IN,60856
Spanish,Very well,Youth,Oklahoma/OK,59749
Filipino,Very well,Adult,California/CA,59442
Spanish,Well,Adult,Connecticut/CT,59189
Hindi,Very well,Adult,New Jersey/NJ,56941
Hindi,Very well,Adult,Texas/TX,56685
Spanish,Very well,Adult,Idaho/ID,55803
Spanish,Very well,Adult,Louisiana/LA,55465
Spanish,Very well,Youth,Tennessee/TN,53702
Spanish,Very well,Adult,Arkansas/AR,53408
German,Very well,Adult,California/CA,53082
Yiddish,Very well,Adult,New York/NY,53042
Tagalog,Well,Senior,California/CA,52616
Spanish,Very well,Youth,Michigan/MI,51919
Spanish,Very well,Adult,Rhode Island/RI,51842
Spanish,Not well,Adult,Connecticut/CT,51359
Arabic,Very well,Adult,Texas/TX,51114
Spanish,Very well,Adult,Alabama/AL,50810
Vietnamese,Very well,Youth,California/CA,50661
Spanish,Very well,Youth,Wisconsin/WI,50480
Chinese,Very well,Youth,California/CA,50029
Japanese,Very well,Adult,California/CA,49613
Spanish,Not at all,Adult,Georgia/GA,49308
Spanish,Very well,Adult,Nebraska/NE,48986
Portuguese,Very well,Adult,California/CA,48808
Vietnamese,Well,Adult,Texas/TX,48025
French,Very well,Adult,Florida/FL,47507
Spanish,Not at all,Adult,North Carolina/NC,47341
Chinese,Very well,Adult,Texas/TX,47093
Arabic,Very well,Adult,New York/NY,46933
Korean,Not well,Adult,California/CA,46850
Spanish,Very well,Adult,Iowa/IA,46733
Navajo,Very well,Adult,Arizona/AZ,46537
Spanish,Very well,Senior,New Jersey/NJ,45804
Vietnamese,Not well,Senior,California/CA,45727
Spanish,Very well,Youth,Kansas/KS,45516
Telugu,Very well,Adult,California/CA,45239
Spanish,Well,Adult,Indiana/IN,45195
Urdu,Very well,Adult,Texas/TX,45035
Bengali,Very well,Adult,New York/NY,45020
Spanish,Not well,Adult,Tennessee/TN,44354
Spanish,Well,Adult,New Mexico/NM,44333
Spanish,Well,Youth,Illinois/IL,44319
Spanish,Very well,Youth,Ohio/OH,43963
Spanish,Very well,Youth,Minnesota/MN,43959
Russian,Well,Adult,New York/NY,43118
Spanish,Very well,Youth,South Carolina/SC,43014
Spanish,Very well,Adult,Kentucky/KY,42916
Spanish,Not well,Adult,Oregon/OR,42837
Spanish,Well,Adult,Oregon/OR,42736
Spanish,Very well,Senior,Illinois/IL,41876
French,Very well,Adult,Texas/TX,41807
Tamil,Very well,Adult,California/CA,40660
Spanish,Not at all,Adult,Massachusetts/MA,40081
Spanish,Not well,Senior,New Jersey/NJ,40004
Haitian,Not well,Adult,Florida/FL,39691
Spanish,Well,Adult,Tennessee/TN,39466
Cantonese,Well,Adult,California/CA,39418
Gujarati,Very well,Adult,New Jersey/NJ,39078
Chinese,Not well,Senior,California/CA,38948
Haitian,Very well,Adult,Massachusetts/MA,38608
Portuguese,Very well,Adult,New Jersey/NJ,38589
Spanish,Well,Adult,Utah/UT,38181
Mandarin,Not well,Adult,California/CA,37796
Spanish,Well,Adult,Oklahoma/OK,37488
