"household_language","speak_english","age_group","state","speakers","total_speakers_of_language_in_us","percentage_speakers_in_state","state_pop_of_non_english_households","percent_state_pop_speaking_language","state_abbreviation"
"French","Not at all","Adult","Georgia",306,1199488,0.0255108846441148,1423123,0.0215020065026003,"GA"
"Hungarian","Very well","Adult","South Carolina",306,75140,0.407239819004525,359029,0.0852298839369522,"SC"
"Khmer","Not well","Senior","North Carolina",306,200238,0.152818146405777,1177461,0.0259881218995788,"NC"
"Marathi","Very well","Adult","Kansas",306,105170,0.290957497385186,323775,0.0945100764419736,"KS"
"Ojibwa","Very well","Adult","Illinois",306,16034,1.90844455531994,2824136,0.0108351722438296,"IL"
"Other Bantu languages","Very well","Youth","Kansas",306,71101,0.430373693759581,323775,0.0945100764419736,"KS"
"Other Bantu languages","Very well","Youth","New York",306,71101,0.430373693759581,5795855,0.00527963518756077,"NY"
"Other Indo-Iranian languages","Very well","Adult","Tennessee",306,30103,1.01650998239378,480403,0.063696521462189,"TN"
"Pakistan N.E.C.","Well","Youth","New York",306,12052,2.53899767673415,5795855,0.00527963518756077,"NY"
"Pashto","Very well","Adult","Illinois",306,47373,0.645937559369261,2824136,0.0108351722438296,"IL"
"Punjabi","Not at all","Senior","Illinois",306,318233,0.0961559611982415,2824136,0.0108351722438296,"IL"
"Serbian","Well","Senior","Florida",306,82594,0.370486960311887,6032018,0.00507292915903102,"FL"
"Sinhala","Very well","Adult","Connecticut",306,32202,0.950251537171604,761163,0.040201638807982,"CT"
"Turkish","Not well","Adult","Maryland",306,153435,0.199432984651481,1126130,0.0271727065258895,"MD"
"Turkish","Very well","Adult","Oklahoma",306,153435,0.199432984651481,389516,0.0785590322348761,"OK"
"Yoruba","Very well","Adult","Arizona",306,164266,0.186283223552044,1786775,0.0171258272586084,"AZ"
"Arabic","Well","Adult","Maine",305,1335142,0.0228440120975896,75414,0.404434189938208,"ME"
"Armenian","Well","Adult","Maryland",305,243078,0.12547412764627,1126130,0.0270839068313605,"MD"
"Dutch","Very well","Youth","Connecticut",305,142371,0.214229021359687,761163,0.0400702609033807,"CT"
"Farsi","Well","Adult","Utah",305,418067,0.0729548134629138,458522,0.0665180732876503,"UT"
"Filipino","Very well","Adult","Idaho",305,405949,0.0751325905470884,183236,0.166452007247484,"ID"
"Hungarian","Not well","Senior","Ohio",305,75140,0.405908969922811,822102,0.0371000192190264,"OH"
"Hungarian","Very well","Senior","Utah",305,75140,0.405908969922811,458522,0.0665180732876503,"UT"
"Igbo","Very well","Adult","Vermont",305,106351,0.286786207934105,35986,0.847551825709998,"VT"
"Jamaican Creole English","Very well","Adult","District of Columbia",305,75404,0.404487825579545,108779,0.280385000781401,"DC"
"Kannada","Very well","Youth","Illinois",305,77075,0.395718456049303,2824136,0.0107997631842093,"IL"
"Korean","Well","Youth","Alabama",305,1090236,0.027975594275001,249939,0.122029775265165,"AL"
"Malay","Very well","Youth","California",305,15231,2.00249491169326,16380757,0.00186194081262545,"CA"
"Other Afro-Asiatic languages","Very well","Adult","Florida",305,39649,0.76925017024389,6032018,0.00505635095916491,"FL"
"Other Bantu languages","Very well","Adult","Oklahoma",305,71101,0.428967243779975,389516,0.0783023033713634,"OK"
"Other languages of Africa","Very well","Youth","Illinois",305,35867,0.850363844202191,2824136,0.0107997631842093,"IL"
"Other Native North American languages","Very well","Adult","Nevada",305,56500,0.539823008849557,866221,0.0352104139705687,"NV"
"Other Niger-Congo languages","Very well","Youth","Texas",305,40310,0.756636070453982,9497841,0.0032112561159952,"TX"
"Polish","Very well","Adult","New Mexico",305,526389,0.0579419402761076,657588,0.0463816249688255,"NM"
"Portuguese","Very well","Youth","Louisiana",305,855113,0.0356678006298583,332871,0.0916270867693491,"LA"
"Portuguese","Well","Senior","Maryland",305,855113,0.0356678006298583,1126130,0.0270839068313605,"MD"
"Slovak","Very well","Youth","Illinois",305,21707,1.40507670336758,2824136,0.0107997631842093,"IL"
"Tagalog","Not well","Adult","Georgia",305,1318650,0.0231297159974216,1423123,0.0214317385074937,"GA"
"Thai","Very well","Youth","Alabama",305,169697,0.179732110762123,249939,0.122029775265165,"AL"
"Urdu","Very well","Youth","South Carolina",305,514050,0.0593327497325163,359029,0.0849513549044785,"SC"
"Amharic","Not at all","Senior","Washington",304,219676,0.138385622462172,1465617,0.0207421174836264,"WA"
"Cantonese","Very well","Youth","Oregon",304,543329,0.055951366483291,616044,0.0493471245560382,"OR"
"Danish","Very well","Adult","Arizona",304,26221,1.15937607261355,1786775,0.0170138937471142,"AZ"
"Farsi","Not well","Senior","Illinois",304,418067,0.0727156173531994,2824136,0.0107643541245889,"IL"
"Farsi","Very well","Youth","Nevada",304,418067,0.0727156173531994,866221,0.0350949699903373,"NV"
"French","Very well","Senior","Nebraska",304,1199488,0.0253441468359834,219892,0.138249686209594,"NE"
"German","Not well","Adult","Kansas",304,860426,0.0353313358731605,323775,0.0938923635240522,"KS"
"Gujarati","Not well","Senior","Connecticut",304,438103,0.0693900749367158,761163,0.0399388829987795,"CT"
"Gujarati","Well","Adult","Alabama",304,438103,0.0693900749367158,249939,0.121629677641344,"AL"
"Hungarian","Well","Adult","Pennsylvania",304,75140,0.404578120841097,1443616,0.0210582315518808,"PA"
"Japanese","Very well","Senior","South Carolina",304,459627,0.0661405879115022,359029,0.0846728258720048,"SC"
"Mandarin","Well","Adult","Idaho",304,739644,0.0411008539243203,183236,0.165906262961427,"ID"
"Oromo","Well","Adult","Oregon",304,23193,1.31074030957617,616044,0.0493471245560382,"OR"
"Other and unspecified languages","Very well","Adult","Arizona",304,44134,0.688811347260615,1786775,0.0170138937471142,"AZ"
"Other languages of Africa","Very well","Adult","Wisconsin",304,35867,0.847575766024479,477942,0.0636060442480468,"WI"
"Pennsylvania German","Very well","Adult","Colorado",304,191356,0.158866197035891,879388,0.0345694960586226,"CO"
"Serbian","Very well","Youth","Ohio",304,82594,0.368065476911156,822102,0.0369783798117509,"OH"
"Ukrainian","Very well","Senior","South Carolina",304,187180,0.162410513943797,359029,0.0846728258720048,"SC"
"Yoruba","Not well","Adult","Georgia",304,164266,0.185065686143207,1423123,0.0213614705123872,"GA"
"Fulah","Well","Adult","Maryland",303,20828,1.45477242173997,1126130,0.0269063074423024,"MD"
"Gujarati","Well","Adult","Washington",303,438103,0.0691618181112661,1465617,0.0206738868340092,"WA"
"Haitian","Very well","Adult","Iowa",303,890380,0.0340304139805476,255627,0.118532079944607,"IA"
"Hindi","Not well","Adult","Colorado",303,871964,0.0347491410195834,879388,0.0344557806110613,"CO"
"Hindi","Well","Senior","North Carolina",303,871964,0.0347491410195834,1177461,0.0257333363907594,"NC"
"Hungarian","Very well","Senior","Colorado",303,75140,0.403247271759383,879388,0.0344557806110613,"CO"
"Jamaican Creole English","Very well","Youth","California",303,75404,0.401835446395417,16380757,0.00184973136467381,"CA"
"Kabuverdianu","Not well","Adult","Rhode Island",303,28031,1.08094609539438,232745,0.130185396034286,"RI"
"Lao","Very well","Youth","Pennsylvania",303,133356,0.227211374066409,1443616,0.0209889610533549,"PA"
"Nepali","Very well","Adult","South Carolina",303,203423,0.148950708621936,359029,0.0843942968395311,"SC"
"Serbocroatian","Well","Adult","Illinois",303,19103,1.58613830288436,2824136,0.0107289450649685,"IL"
"Somali","Well","Adult","Missouri",303,158812,0.190791627836687,358897,0.0844253365171623,"MO"
"Swedish","Very well","Adult","Missouri",303,53589,0.565414544029558,358897,0.0844253365171623,"MO"
"Tagalog","Very well","Youth","Alabama",303,1318650,0.0229780457285861,249939,0.121229580017524,"AL"
"Urdu","Very well","Adult","South Dakota",303,514050,0.0589436825211555,51593,0.587288973310333,"SD"
"Vietnamese","Very well","Adult","West Virginia",303,1529274,0.0198133231847269,41408,0.731742658423493,"WV"
"Bulgarian","Not well","Adult","Washington",302,71278,0.423693145149976,1465617,0.020605656184392,"WA"
"Cantonese","Well","Youth","Georgia",302,543329,0.0555832653880062,1423123,0.0212209345221741,"GA"
"Farsi","Well","Adult","Louisiana",302,418067,0.0722372251337704,332871,0.0907258367355522,"LA"
"Hindi","Not well","Youth","New Jersey",302,871964,0.0346344573858554,2786732,0.0108370664993979,"NJ"
"Igbo","Very well","Adult","Oklahoma",302,106351,0.283965359987212,389516,0.0775321167808254,"OK"
"Indonesian","Very well","Adult","Kansas",302,75095,0.402157267461216,323775,0.0932746506061308,"KS"
"Lao","Not well","Adult","Hawaii",302,133356,0.226461501544737,356079,0.0848126398917094,"HI"
"Nepali","Not at all","Adult","Massachusetts",302,203423,0.148459122124833,1616535,0.0186819338894611,"MA"
"Nilo-Saharan languages","Well","Adult","Washington",302,24220,1.24690338563171,1465617,0.020605656184392,"WA"
"Other Afro-Asiatic languages","Not well","Adult","Texas",302,39649,0.761683775126737,9497841,0.0031796699902641,"TX"
"Other Bantu languages","Not well","Adult","Arizona",302,71101,0.424747893841156,1786775,0.01690196023562,"AZ"
"Other Bantu languages","Well","Youth","Illinois",302,71101,0.424747893841156,2824136,0.0106935360053482,"IL"
"Polish","Well","Senior","Maryland",302,526389,0.0573720195520803,1126130,0.0268175077477733,"MD"
"Portuguese","Not well","Adult","New Hampshire",302,855113,0.0353169698039908,103754,0.291073115253388,"NH"
"Portuguese","Well","Adult","Minnesota",302,855113,0.0353169698039908,639463,0.047227126510838,"MN"
"Punjabi","Not at all","Senior","New Jersey",302,318233,0.0948990205289835,2786732,0.0108370664993979,"NJ"
"Russian","Not well","Youth","Texas",302,988947,0.0305375313338329,9497841,0.0031796699902641,"TX"
"Russian","Very well","Youth","Hawaii",302,988947,0.0305375313338329,356079,0.0848126398917094,"HI"
"Samoan","Well","Senior","Washington",302,54188,0.557318963608179,1465617,0.020605656184392,"WA"
"Swahili","Very well","Senior","Maryland",302,151443,0.199414961404621,1126130,0.0268175077477733,"MD"
"Swedish","Very well","Senior","Massachusetts",302,53589,0.563548489428801,1616535,0.0186819338894611,"MA"
"Swiss German","Very well","Adult","Texas",302,18208,1.65861159929701,9497841,0.0031796699902641,"TX"
"Telugu","Well","Youth","Florida",302,434786,0.0694594582162259,6032018,0.00500661635956657,"FL"
"Thai","Not well","Adult","Arizona",302,169697,0.177964253934955,1786775,0.01690196023562,"AZ"
"Urdu","Very well","Youth","Arkansas",302,514050,0.0587491489154752,218164,0.138427971617682,"AR"
"Vietnamese","Not at all","Adult","South Carolina",302,1529274,0.0197479326791667,359029,0.0841157678070574,"SC"
"Cebuano","Well","Adult","Georgia",301,54623,0.551049924024678,1423123,0.0211506665270676,"GA"
"Chinese","Well","Youth","Minnesota",301,2112607,0.0142477990463915,639463,0.047070745297226,"MN"
"Greek","Very well","Adult","Nebraska",301,265528,0.113359043114097,219892,0.136885380095683,"NE"
"Hebrew","Very well","Adult","Tennessee",301,224194,0.13425872235653,480403,0.0626557286278395,"TN"
"Hindi","Well","Senior","Pennsylvania",301,871964,0.0345197737521274,1443616,0.0208504200563031,"PA"
"Karen languages","Very well","Adult","Georgia",301,52217,0.576440622785683,1423123,0.0211506665270676,"GA"
"Lao","Very well","Youth","Ohio",301,133356,0.225711629023066,822102,0.0366134615899244,"OH"
"Lithuanian","Well","Senior","Massachusetts",301,35602,0.845458120330319,1616535,0.0186200731812179,"MA"
"Ojibwa","Well","Adult","Connecticut",301,16034,1.87726082075589,761163,0.0395447492849758,"CT"
"Other Bantu languages","Not well","Adult","Ohio",301,71101,0.423341443861549,822102,0.0366134615899244,"OH"
"Portuguese","Very well","Youth","Oregon",301,855113,0.0352000261953683,616044,0.0488601463531826,"OR"
"Romanian","Very well","Senior","Washington",301,180373,0.166876417202131,1465617,0.0205374255347748,"WA"
"Tagalog","Very well","Senior","Mississippi",301,1318650,0.0228263754597505,109902,0.273880366144383,"MS"
"Vietnamese","Well","Youth","Nevada",301,1529274,0.0196825421736066,866221,0.0347486380496432,"NV"
"Chaldean Neo-Aramaic","Not at all","Adult","California",300,35774,0.838597864370772,16380757,0.00183141719274634,"CA"
"Danish","Very well","Senior","Utah",300,26221,1.14412112428969,458522,0.06542761306982,"UT"
"Farsi","Not well","Adult","North Carolina",300,418067,0.0717588329143415,1177461,0.02547855088194,"NC"
"Hebrew","Very well","Youth","Ohio",300,224194,0.133812680089565,822102,0.0364918221826489,"OH"
"Mandarin","Not well","Adult","Colorado",300,739644,0.0405600532147898,879388,0.0341146342683776,"CO"
"Other and unspecified languages","Very well","Adult","Idaho",300,44134,0.679748040059818,183236,0.163723285817197,"ID"
"Other languages of Africa","Very well","Senior","California",300,35867,0.836423453313631,16380757,0.00183141719274634,"CA"
"Pennsylvania German","Not at all","Youth","Indiana",300,191356,0.156775852338051,569820,0.0526482046962199,"IN"
"Somali","Very well","Youth","Tennessee",300,158812,0.188902601818502,480403,0.0624475700609696,"TN"
"Swiss German","Well","Youth","Indiana",300,18208,1.64762741652021,569820,0.0526482046962199,"IN"
"Tagalog","Very well","Senior","Utah",300,1318650,0.0227505403253327,458522,0.06542761306982,"UT"
"Tamil","Not well","Adult","Pennsylvania",300,305433,0.0982212138177604,1443616,0.0207811495577771,"PA"
"Telugu","Not well","Adult","Michigan",300,434786,0.0689994618041979,945842,0.0317177710442125,"MI"
"Thai","Well","Senior","New Jersey",300,169697,0.176785682716842,2786732,0.010765297847084,"NJ"
"Vietnamese","Not well","Youth","Illinois",300,1529274,0.0196171516680464,2824136,0.0106227178861075,"IL"
"Yiddish","Very well","Adult","Minnesota",300,192951,0.1554798886764,639463,0.0469143640836139,"MN"
"Yoruba","Very well","Senior","Delaware",300,164266,0.182630611325533,129602,0.231477909291523,"DE"
"Burmese","Well","Adult","New Jersey",299,95762,0.312232409515257,2786732,0.010729413520927,"NJ"
"Cherokee","Very well","Senior","North Carolina",299,8968,3.33407671721677,1177461,0.0253936223790002,"NC"
"Chinese","Not well","Senior","Missouri",299,2112607,0.0141531292852859,358897,0.0833108106225463,"MO"
"Croatian","Well","Adult","Texas",299,47490,0.629606232891135,9497841,0.003148083864533,"TX"
"Hebrew","Very well","Youth","Connecticut",299,224194,0.1333666378226,761163,0.0392819934757733,"CT"
"Hindi","Well","Adult","Arkansas",299,871964,0.0342904064846714,218164,0.137052859316844,"AR"
"Mandarin","Very well","Adult","Arkansas",299,739644,0.0404248530374072,218164,0.137052859316844,"AR"
"Nilo-Saharan languages","Well","Adult","Florida",299,24220,1.23451692815855,6032018,0.00495688175996822,"FL"
"Russian","Well","Youth","Colorado",299,988947,0.030234178373563,879388,0.0340009188208163,"CO"
"Samoan","Very well","Adult","Florida",299,54188,0.551782682512733,6032018,0.00495688175996822,"FL"
"Spanish","Not at all","Senior","Delaware",299,41244779,0.000724940240315023,129602,0.230706316260552,"DE"
"Spanish","Not well","Youth","Montana",299,41244779,0.000724940240315023,41732,0.716476564746478,"MT"
"Swedish","Well","Adult","California",299,53589,0.557950325626528,16380757,0.00182531246877052,"CA"
"Thai","Not well","Adult","Maryland",299,169697,0.176196397107786,1126130,0.0265511086641862,"MD"
"Turkish","Very well","Senior","Virginia",299,153435,0.194870792192133,1333933,0.0224149188902291,"VA"
"Urdu","Not well","Youth","California",299,514050,0.058165548098434,16380757,0.00182531246877052,"CA"
"Amharic","Very well","Adult","Wisconsin",298,219676,0.135654327281997,477942,0.0623506617957827,"WI"
"Cantonese","Not well","Adult","Maryland",298,543329,0.0548470631974365,1126130,0.0264623089696571,"MD"
"Chinese","Well","Adult","Montana",298,2112607,0.0141057944047331,41732,0.714080322055018,"MT"
"Croatian","Very well","Youth","Utah",298,47490,0.627500526426616,458522,0.0649914289826879,"UT"
"Dutch","Very well","Senior","Wisconsin",298,142371,0.209312289721924,477942,0.0623506617957827,"WI"
"Filipino","Very well","Senior","Louisiana",298,405949,0.0734082360099421,332871,0.089524170023823,"LA"
"Italian","Well","Adult","Nevada",298,548085,0.0543711285658246,866221,0.0344023061089491,"NV"
"Malayalam","Very well","Adult","Kansas",298,188702,0.157920954732859,323775,0.092039224770288,"KS"
"Navajo","Well","Senior","Utah",298,160697,0.185442167557577,458522,0.0649914289826879,"UT"
"Pennsylvania German","Very well","Senior","Michigan",298,191356,0.15573067998913,945842,0.031506319237251,"MI"
"Portuguese","Very well","Senior","Washington",298,855113,0.0348491953695009,1465617,0.0203327335859232,"WA"
"Russian","Well","Senior","Arizona",298,988947,0.0301330607201397,1786775,0.0166780932126317,"AZ"
"Tamil","Well","Adult","Minnesota",298,305433,0.097566405725642,639463,0.0466016016563898,"MN"
"Telugu","Well","Adult","Nebraska",298,434786,0.0685394653921699,219892,0.135521073981773,"NE"
"Thai","Very well","Senior","Alabama",298,169697,0.17560711149873,249939,0.119229091898423,"AL"
"Tibetan","Not at all","Senior","New York",298,19488,1.52914614121511,5795855,0.0051416055094546,"NY"
"Ukrainian","Well","Adult","Maryland",298,187180,0.159205043273854,1126130,0.0264623089696571,"MD"
"Ukrainian","Well","Adult","South Carolina",298,187180,0.159205043273854,359029,0.0830016516771626,"SC"
"Afrikaans","Not at all","Adult","Texas",297,32386,0.917062928425863,9497841,0.00312702644737894,"TX"
"Filipino","Very well","Senior","Colorado",297,405949,0.0731618996474927,879388,0.0337734879256938,"CO"
"Gbe languages","Very well","Adult","Texas",297,15030,1.97604790419162,9497841,0.00312702644737894,"TX"
"Gujarati","Well","Senior","Minnesota",297,438103,0.0677922771585677,639463,0.0464452204427778,"MN"
"India N.E.C.","Very well","Adult","Washington",297,43077,0.68946305453026,1465617,0.020264502936306,"WA"
"Italian","Not well","Senior","Wisconsin",297,548085,0.0541886751142615,477942,0.0621414313870721,"WI"
"Korean","Very well","Youth","New Mexico",297,1090236,0.0272418081956567,657588,0.0451650577565284,"NM"
"Marathi","Very well","Youth","Ohio",297,105170,0.28239992393268,822102,0.0361269039608224,"OH"
"Marathi","Well","Senior","New Jersey",297,105170,0.28239992393268,2786732,0.0106576448686131,"NJ"
"Punjabi","Very well","Senior","North Carolina",297,318233,0.0933278446924109,1177461,0.0252237653731206,"NC"
"Tamil","Very well","Senior","North Carolina",297,305433,0.0972390016795828,1177461,0.0252237653731206,"NC"
"Urdu","Very well","Youth","Oklahoma",297,514050,0.0577764808870732,389516,0.0762484724632621,"OK"
"Amharic","Well","Adult","Florida",296,219676,0.134743895555272,6032018,0.00490714716036988,"FL"
"Cebuano","Very well","Adult","Arizona",296,54623,0.541896270801677,1786775,0.0165661597011375,"AZ"
"Croatian","Very well","Adult","Wisconsin",296,47490,0.623289113497578,477942,0.0619322009783614,"WI"
"Filipino","Very well","Youth","New Mexico",296,405949,0.0729155632850432,657588,0.0450129868549913,"NM"
"Hindi","Well","Adult","Kentucky",296,871964,0.0339463555834874,247638,0.11952931294874,"KY"
"Italian","Well","Youth","North Carolina",296,548085,0.0540062216626983,1177461,0.0251388368701808,"NC"
"Kannada","Well","Adult","Georgia",296,77075,0.384041518001946,1423123,0.0207993265515349,"GA"
"Khmer","Well","Senior","Florida",296,200238,0.147824089333693,6032018,0.00490714716036988,"FL"
"Other Central and South American languages","Not at all","Adult","Pennsylvania",296,34080,0.868544600938967,1443616,0.0205040675636734,"PA"
"Other Eastern Malayo-Polynesian languages","Very well","Adult","Illinois",296,33427,0.88551171208903,2824136,0.010481081647626,"IL"
"Other languages of Asia","Very well","Youth","Virginia",296,52585,0.562898164875915,1333933,0.0221900200384877,"VA"
"Other Native North American languages","Very well","Adult","Michigan",296,56500,0.523893805309735,945842,0.0312948674302896,"MI"
"Russian","Not at all","Adult","South Carolina",296,988947,0.0299308254132931,359029,0.0824445936122152,"SC"
"Russian","Not well","Youth","North Carolina",296,988947,0.0299308254132931,1177461,0.0251388368701808,"NC"
"Tibetan","Very well","Adult","Oregon",296,19488,1.51888341543514,616044,0.0480485160150898,"OR"
"Urdu","Well","Adult","Colorado",296,514050,0.0575819472813929,879388,0.0336597724781325,"CO"
"Vietnamese","Not at all","Senior","Maryland",296,1529274,0.0193555896458058,1126130,0.026284709580599,"MD"
"Arabic","Not at all","Adult","Pennsylvania",295,1335142,0.02209502809439,1443616,0.0204347970651475,"PA"
"Arabic","Not at all","Adult","Utah",295,1335142,0.02209502809439,458522,0.0643371528519897,"UT"
"Gbe languages","Well","Adult","Illinois",295,15030,1.96274118429807,2824136,0.0104456725880057,"IL"
"Hebrew","Well","Adult","Washington",295,224194,0.131582468754739,1465617,0.0201280416370716,"WA"
"Hindi","Very well","Youth","Louisiana",295,871964,0.0338316719497594,332871,0.0886229199900262,"LA"
"Japanese","Very well","Adult","Maine",295,459627,0.0641824784009643,75414,0.391174052563185,"ME"
"Marathi","Very well","Youth","Florida",295,105170,0.280498240943235,6032018,0.00489056896050377,"FL"
"Min Nan Chinese","Well","Adult","Maryland",295,77426,0.381008963397308,1126130,0.02619590988607,"MD"
"Other and unspecified languages","Not well","Adult","California",295,44134,0.668418906058821,16380757,0.00180089357286724,"CA"
"Other Eastern Malayo-Polynesian languages","Very well","Youth","Washington",295,33427,0.882520118467107,1465617,0.0201280416370716,"WA"
"Other Native North American languages","Very well","Youth","California",295,56500,0.52212389380531,16380757,0.00180089357286724,"CA"
"Romanian","Well","Adult","Tennessee",295,180373,0.163549976992122,480403,0.0614067772266202,"TN"
"Russian","Very well","Adult","Arkansas",295,988947,0.0298297077598698,218164,0.13521937624906,"AR"
"Russian","Very well","Youth","Rhode Island",295,988947,0.0298297077598698,232745,0.126748157855163,"RI"
"Serbocroatian","Very well","Adult","Maryland",295,19103,1.54426006386431,1126130,0.02619590988607,"MD"
"Slovak","Very well","Adult","Washington",295,21707,1.35900861473257,1465617,0.0201280416370716,"WA"
"Swahili","Well","Adult","Tennessee",295,151443,0.194792760312461,480403,0.0614067772266202,"TN"
"Vietnamese","Well","Senior","Kansas",295,1529274,0.0192901991402456,323775,0.0911126553934059,"KS"
"Vietnamese","Well","Senior","Michigan",295,1529274,0.0192901991402456,945842,0.0311891415268089,"MI"
"Vietnamese","Well","Youth","Louisiana",295,1529274,0.0192901991402456,332871,0.0886229199900262,"LA"
"Arabic","Well","Youth","Connecticut",294,1335142,0.02202012969407,761163,0.038625103952767,"CT"
"Dari","Not well","Youth","Texas",294,36807,0.79876110522455,9497841,0.00309544032164784,"TX"
"Filipino","Well","Senior","Michigan",294,405949,0.0724228905601443,945842,0.0310834156233282,"MI"
"French","Not well","Adult","New Hampshire",294,1199488,0.024510457795326,103754,0.28336256915396,"NH"
"Hindi","Not well","Youth","Texas",294,871964,0.0337169883160314,9497841,0.00309544032164784,"TX"
"Hungarian","Well","Senior","Ohio",294,75140,0.391269630023955,822102,0.0357619857389959,"OH"
"Igbo","Very well","Senior","North Carolina",294,106351,0.276443098795498,1177461,0.0249689798643012,"NC"
"Khmer","Very well","Senior","Florida",294,200238,0.146825277919276,6032018,0.00487399076063765,"FL"
"Mandarin","Not well","Adult","Tennessee",294,739644,0.039748852150494,480403,0.0611986186597503,"TN"
"Nepali","Not at all","Adult","California",294,203423,0.144526430148017,16380757,0.00179478884889142,"CA"
"Other and unspecified languages","Very well","Adult","Wisconsin",294,44134,0.666153079258622,477942,0.06151374016094,"WI"
"Other Bantu languages","Very well","Senior","California",294,71101,0.413496294004304,16380757,0.00179478884889142,"CA"
"Other Eastern Malayo-Polynesian languages","Not well","Adult","Hawaii",294,33427,0.879528524845185,356079,0.0825659474442469,"HI"
"Pakistan N.E.C.","Well","Adult","Florida",294,12052,2.43942914039164,6032018,0.00487399076063765,"FL"
"Portuguese","Not well","Adult","Nevada",294,855113,0.0343814209350109,866221,0.0339405301880236,"NV"
"Telugu","Well","Senior","New Jersey",294,434786,0.067619472568114,2786732,0.0105499918901423,"NJ"
"Vietnamese","Not well","Senior","Mississippi",294,1529274,0.0192248086346855,109902,0.267511055303816,"MS"
"Afrikaans","Very well","Adult","Arkansas",293,32386,0.904711912554808,218164,0.134302634715168,"AR"
"German","Not well","Youth","South Dakota",293,860426,0.0340528993777501,51593,0.567906498943655,"SD"
"German","Very well","Youth","Maine",293,860426,0.0340528993777501,75414,0.38852202508818,"ME"
"Hindi","Not at all","Senior","Illinois",293,871964,0.0336023046823034,2824136,0.010374854468765,"IL"
"Hindi","Very well","Senior","Wisconsin",293,871964,0.0336023046823034,477942,0.0613045097522293,"WI"
"Karen languages","Very well","Adult","Wisconsin",293,52217,0.561119941781412,477942,0.0613045097522293,"WI"
"Kurdish","Very well","Youth","Nebraska",293,25270,1.1594776414721,219892,0.133247230458589,"NE"
"Kurdish","Well","Adult","California",293,25270,1.1594776414721,16380757,0.00178868412491559,"CA"
"Other Afro-Asiatic languages","Well","Adult","Illinois",293,39649,0.738984589775278,2824136,0.010374854468765,"IL"
"Other Bantu languages","Very well","Adult","Nevada",293,71101,0.412089844024697,866221,0.0338250862077922,"NV"
"Other Niger-Congo languages","Well","Adult","Pennsylvania",293,40310,0.72686678243612,1443616,0.0202962560680957,"PA"
"Romanian","Not at all","Senior","Florida",293,180373,0.162441163588785,6032018,0.00485741256077154,"FL"
"Samoan","Very well","Adult","North Carolina",293,54188,0.540710120321843,1177461,0.0248840513613614,"NC"
"Thai","Very well","Youth","New Jersey",293,169697,0.172660683453449,2786732,0.0105141075639853,"NJ"
"Turkish","Well","Youth","Florida",293,153435,0.190960341512693,6032018,0.00485741256077154,"FL"
"Afrikaans","Very well","Adult","South Dakota",292,32386,0.901624158587044,51593,0.565968251506987,"SD"
"Armenian","Very well","Youth","Nevada",292,243078,0.120126050074462,866221,0.0337096422275609,"NV"
"Cebuano","Very well","Adult","Pennsylvania",292,54623,0.534573348223276,1443616,0.0202269855695697,"PA"
"Filipino","Well","Senior","Wisconsin",292,405949,0.0719302178352453,477942,0.0610952793435187,"WI"
"French","Not well","Senior","Indiana",292,1199488,0.0243437199871945,569820,0.0512442525709873,"IN"
"Ganda","Very well","Adult","Louisiana",292,13242,2.20510496903791,332871,0.0877216699562293,"LA"
"Haitian","Well","Senior","Georgia",292,890380,0.0327949864102967,1423123,0.0205182545711088,"GA"
"Indonesian","Well","Adult","Ohio",292,75095,0.388840801651242,822102,0.0355187069244449,"OH"
"Italian","Very well","Senior","Minnesota",292,548085,0.0532764078564456,639463,0.0456633143747175,"MN"
"Japanese","Very well","Senior","Louisiana",292,459627,0.063529775230785,332871,0.0877216699562293,"LA"
"Kannada","Well","Adult","New Jersey",292,77075,0.378851767758677,2786732,0.0104782232378284,"NJ"
"Khmer","Not at all","Adult","Minnesota",292,200238,0.145826466504859,639463,0.0456633143747175,"MN"
"Korean","Very well","Adult","North Dakota",292,1090236,0.0267831918960665,46791,0.624051633861213,"ND"
"Lithuanian","Not well","Senior","Illinois",292,35602,0.820178641649346,2824136,0.0103394454091446,"IL"
"Malayalam","Very well","Youth","Ohio",292,188702,0.154741338194614,822102,0.0355187069244449,"OH"
"Mandarin","Very well","Youth","Idaho",292,739644,0.0394784517957288,183236,0.159357331528739,"ID"
"Portuguese","Well","Adult","Arizona",292,855113,0.034147533717766,1786775,0.0163422926781492,"AZ"
"Somali","Well","Youth","Kansas",292,158812,0.183865199103342,323775,0.0901860860165238,"KS"
"Tagalog","Not well","Senior","Michigan",292,1318650,0.0221438592499905,945842,0.0308719638163668,"MI"
"Telugu","Not well","Youth","Texas",292,434786,0.067159476156086,9497841,0.00307438290449377,"TX"
"Cajun French","Very well","Senior","Texas",291,15670,1.85705169112955,9497841,0.00306385419591674,"TX"
"Chamorro","Very well","Adult","Georgia",291,20215,1.43952510511996,1423123,0.0204479865760022,"GA"
"Czech","Well","Senior","Texas",291,42561,0.683724536547544,9497841,0.00306385419591674,"TX"
"German","Not well","Senior","Ohio",291,860426,0.0338204563785846,822102,0.0353970675171694,"OH"
"Haitian","Not well","Senior","Maryland",291,890380,0.0326826748130012,1126130,0.0258407111079538,"MD"
"Iu Mien","Not well","Adult","Oregon",291,17078,1.70394659796229,616044,0.0472368856769971,"OR"
