"household_language","speak_english","age_group","state","speakers","total_speakers_of_language_in_us","percentage_speakers_in_state","state_pop_of_non_english_households","percent_state_pop_speaking_language","state_abbreviation"
"Chinese","Well","Adult","Massachusetts",19770,2112607,0.93581058852877,1616535,1.22298620196903,"MA"
"French","Very well","Senior","California",19646,1199488,1.63786548927542,16380757,0.119933407228982,"CA"
"Arabic","Well","Adult","Texas",19581,1335142,1.46658557666525,9497841,0.206162642646892,"TX"
"Tagalog","Very well","Adult","Virginia",19497,1318650,1.47855761574337,1333933,1.46161763746755,"VA"
"French","Very well","Adult","Virginia",19443,1199488,1.62094160175008,1333933,1.4575694581362,"VA"
"Ilocano","Very well","Adult","Hawaii",19401,95161,20.3875537247402,356079,5.4485100216525,"HI"
"Somali","Very well","Adult","Minnesota",19303,158812,12.1546230763418,639463,3.01862656635333,"MN"
"Vietnamese","Not at all","Adult","California",19296,1529274,1.26177519528874,16380757,0.117796753837445,"CA"
"French","Well","Adult","New York",19260,1199488,1.60568509230605,5795855,0.332306450040589,"NY"
"Korean","Well","Adult","New York",19158,1090236,1.75723421350974,5795855,0.330546571644736,"NY"
"Spanish","Not at all","Senior","Arizona",19109,41244779,0.0463307125490962,1786775,1.06946873557107,"AZ"
"Akan (incl. Twi)","Very well","Adult","New York",19019,139448,13.6387757443635,5795855,0.328148305987641,"NY"
"Portuguese","Very well","Adult","Texas",18820,855113,2.20087871427519,9497841,0.19815029541977,"TX"
"Spanish","Not at all","Senior","Illinois",18788,41244779,0.0455524322242095,2824136,0.66526541214729,"IL"
"Urdu","Very well","Adult","New Jersey",18742,514050,3.64594883766171,2786732,0.672544040833492,"NJ"
"Tagalog","Not well","Senior","California",18663,1318650,1.41531111363895,16380757,0.11393246356075,"CA"
"French","Very well","Adult","Pennsylvania",18641,1199488,1.55407974068936,1443616,1.29127136302175,"PA"
"Mandarin","Very well","Adult","Texas",18626,739644,2.51823850392892,9497841,0.196107725955825,"TX"
"Spanish","Well","Adult","Kentucky",18558,41244779,0.0449947858855057,247638,7.49400334359024,"KY"
"Hindi","Very well","Adult","Florida",18535,871964,2.12566115114844,6032018,0.307276934518431,"FL"
"Chinese","Very well","Adult","Maryland",18515,2112607,0.876405313435012,1126130,1.64412634420538,"MD"
"Spanish","Not well","Adult","Nebraska",18493,41244779,0.0448371901810893,219892,8.41003765484874,"NE"
"Spanish","Not at all","Adult","Connecticut",18466,41244779,0.0447717273500241,761163,2.42602438636665,"CT"
"German","Very well","Adult","Illinois",18443,860426,2.14347311680493,2824136,0.653049286578267,"IL"
"Tamil","Very well","Adult","New Jersey",18434,305433,6.03536618505531,2786732,0.661491668377153,"NJ"
"Hindi","Very well","Adult","Pennsylvania",18422,871964,2.11270190053718,1443616,1.27610112384457,"PA"
"Igbo","Very well","Adult","Texas",18422,106351,17.3218869592199,9497841,0.19395986940611,"TX"
