"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state"
"Cajun French","New York",0,25007,0,17870301,0
"Cajun French","North Carolina",151,25007,0.6,9147135,0
"Cajun French","North Dakota",0,25007,0,691239,0
"Cajun French","Ohio",64,25007,0.26,10674943,0
"Cajun French","Oklahoma",84,25007,0.34,3496942,0
"Cajun French","Oregon",142,25007,0.57,3856566,0
"Cajun French","Pennsylvania",0,25007,0,11689113,0
"Cajun French","Rhode Island",0,25007,0,966639,0
"Cajun French","South Carolina",0,25007,0,4451500,0
"Cajun French","South Dakota",0,25007,0,780990,0
"Cajun French","Tennessee",58,25007,0.23,6096043,0
"Cajun French","Texas",1279,25007,5.11,25732230,0
"Cajun French","Utah",0,25007,0,2890269,0
"Cajun French","Vermont",0,25007,0,563783,0
"Cajun French","Virginia",0,25007,0,7632032,0
"Cajun French","Washington",0,25007,0,6985060,0
"Cajun French","West Virginia",0,25007,0,1562854,0
"Cajun French","Wisconsin",0,25007,0,5356572,0
"Cajun French","Wyoming",44,25007,0.18,516070,0.01
"Spanish","Alabama",188577,48037161,0.39,4273154,4.41
"Spanish","Alaska",32947,48037161,0.07,643509,5.12
"Spanish","Arizona",1688407,48037161,3.51,6481034,26.05
"Spanish","Arkansas",195837,48037161,0.41,2656747,7.37
"Spanish","California",11874906,48037161,24.72,34885769,34.04
"Spanish","Colorado",767324,48037161,1.6,5205618,14.74
"Spanish","Connecticut",494317,48037161,1.03,3243543,15.24
"Spanish","Delaware",81800,48037161,0.17,868386,9.42
"Spanish","District of Columbia",68040,48037161,0.14,586792,11.6
"Spanish","Florida",4848671,48037161,10.09,18666465,25.98
"Spanish","Georgia",943313,48037161,1.96,9270184,10.18
"Spanish","Hawaii",46979,48037161,0.1,1268826,3.7
"Spanish","Idaho",181321,48037161,0.38,1608055,11.28
"Spanish","Illinois",1861674,48037161,3.88,11513071,16.17
"Spanish","Indiana",374765,48037161,0.78,6051758,6.19
"Spanish","Iowa",156991,48037161,0.33,2869061,5.47
"Spanish","Kansas",250178,48037161,0.52,2631827,9.51
"Spanish","Kentucky",149862,48037161,0.31,3999146,3.75
"Spanish","Louisiana",201443,48037161,0.42,3954844,5.09
"Spanish","Maine",18167,48037161,0.04,1231579,1.48
"Spanish","Maryland",586824,48037161,1.22,5533146,10.61
