"household_language","state","speakers","total_speakers_by_language","percent_speakers","total_speakers_by_state","percent_speakers_by_state"
"Polish","Ohio",7562,662428,1.14,10674943,0.07
"Polish","Oklahoma",450,662428,0.07,3496942,0.01
"Polish","Oregon",1825,662428,0.28,3856566,0.05
"Polish","Pennsylvania",23006,662428,3.47,11689113,0.2
"Polish","Rhode Island",3499,662428,0.53,966639,0.36
"Polish","South Carolina",2738,662428,0.41,4451500,0.06
"Polish","South Dakota",210,662428,0.03,780990,0.03
"Polish","Tennessee",2690,662428,0.41,6096043,0.04
"Polish","Texas",13147,662428,1.98,25732230,0.05
"Polish","Utah",1891,662428,0.29,2890269,0.07
"Polish","Vermont",631,662428,0.1,563783,0.11
"Polish","Virginia",7254,662428,1.1,7632032,0.1
"Polish","Washington",7448,662428,1.12,6985060,0.11
"Polish","West Virginia",334,662428,0.05,1562854,0.02
"Polish","Wisconsin",10829,662428,1.63,5356572,0.2
"Polish","Wyoming",104,662428,0.02,516070,0.02
"Bulgarian","Alabama",186,84948,0.22,4273154,0
"Bulgarian","Alaska",41,84948,0.05,643509,0.01
"Bulgarian","Arizona",2406,84948,2.83,6481034,0.04
"Bulgarian","Arkansas",237,84948,0.28,2656747,0.01
"Bulgarian","California",10196,84948,12,34885769,0.03
"Bulgarian","Colorado",1329,84948,1.56,5205618,0.03
"Bulgarian","Connecticut",1494,84948,1.76,3243543,0.05
"Bulgarian","Delaware",649,84948,0.76,868386,0.07
"Bulgarian","District of Columbia",504,84948,0.59,586792,0.09
"Bulgarian","Florida",7427,84948,8.74,18666465,0.04
"Bulgarian","Georgia",2265,84948,2.67,9270184,0.02
"Bulgarian","Hawaii",410,84948,0.48,1268826,0.03
"Bulgarian","Idaho",161,84948,0.19,1608055,0.01
"Bulgarian","Illinois",17638,84948,20.76,11513071,0.15
"Bulgarian","Indiana",1188,84948,1.4,6051758,0.02
"Bulgarian","Iowa",560,84948,0.66,2869061,0.02
"Bulgarian","Kansas",328,84948,0.39,2631827,0.01
"Bulgarian","Kentucky",517,84948,0.61,3999146,0.01
"Bulgarian","Louisiana",421,84948,0.5,3954844,0.01
"Bulgarian","Maine",67,84948,0.08,1231579,0.01
"Bulgarian","Maryland",1776,84948,2.09,5533146,0.03
"Bulgarian","Massachusetts",3302,84948,3.89,6355905,0.05
"Bulgarian","Michigan",1168,84948,1.37,9080289,0.01
"Bulgarian","Minnesota",1133,84948,1.33,5150715,0.02
"Bulgarian","Mississippi",34,84948,0.04,2541044,0
"Bulgarian","Missouri",1866,84948,2.2,5508462,0.03
"Bulgarian","Montana",87,84948,0.1,952635,0.01
"Bulgarian","Nebraska",52,84948,0.06,1776556,0
"Bulgarian","Nevada",2772,84948,3.26,2744626,0.1
"Bulgarian","New Hampshire",173,84948,0.2,1234766,0.01
"Bulgarian","New Jersey",3315,84948,3.9,8410259,0.04
"Bulgarian","New Mexico",227,84948,0.27,1800441,0.01
"Bulgarian","New York",4672,84948,5.5,17870301,0.03
"Bulgarian","North Carolina",1456,84948,1.71,9147135,0.02
"Bulgarian","North Dakota",0,84948,0,691239,0
"Bulgarian","Ohio",1111,84948,1.31,10674943,0.01
"Bulgarian","Oklahoma",34,84948,0.04,3496942,0
"Bulgarian","Oregon",831,84948,0.98,3856566,0.02
"Bulgarian","Pennsylvania",1880,84948,2.21,11689113,0.02
"Bulgarian","Rhode Island",150,84948,0.18,966639,0.02
"Bulgarian","South Carolina",675,84948,0.79,4451500,0.02
"Bulgarian","South Dakota",0,84948,0,780990,0
"Bulgarian","Tennessee",446,84948,0.53,6096043,0.01
"Bulgarian","Texas",3017,84948,3.55,25732230,0.01
"Bulgarian","Utah",267,84948,0.31,2890269,0.01
"Bulgarian","Vermont",0,84948,0,563783,0
"Bulgarian","Virginia",2582,84948,3.04,7632032,0.03
"Bulgarian","Washington",3230,84948,3.8,6985060,0.05
"Bulgarian","West Virginia",0,84948,0,1562854,0
"Bulgarian","Wisconsin",530,84948,0.62,5356572,0.01
"Bulgarian","Wyoming",138,84948,0.16,516070,0.03
"Macedonian","Alabama",0,30661,0,4273154,0
"Macedonian","Alaska",0,30661,0,643509,0
"Macedonian","Arizona",244,30661,0.8,6481034,0
"Macedonian","Arkansas",0,30661,0,2656747,0
"Macedonian","California",422,30661,1.38,34885769,0
"Macedonian","Colorado",262,30661,0.85,5205618,0.01
"Macedonian","Connecticut",548,30661,1.79,3243543,0.02
"Macedonian","Delaware",0,30661,0,868386,0
"Macedonian","District of Columbia",0,30661,0,586792,0
"Macedonian","Florida",1584,30661,5.17,18666465,0.01
"Macedonian","Georgia",0,30661,0,9270184,0
"Macedonian","Hawaii",0,30661,0,1268826,0
"Macedonian","Idaho",0,30661,0,1608055,0
"Macedonian","Illinois",2515,30661,8.2,11513071,0.02
"Macedonian","Indiana",2195,30661,7.16,6051758,0.04
"Macedonian","Iowa",54,30661,0.18,2869061,0
"Macedonian","Kansas",0,30661,0,2631827,0
"Macedonian","Kentucky",34,30661,0.11,3999146,0
"Macedonian","Louisiana",32,30661,0.1,3954844,0
"Macedonian","Maine",0,30661,0,1231579,0
"Macedonian","Maryland",92,30661,0.3,5533146,0
"Macedonian","Massachusetts",100,30661,0.33,6355905,0
"Macedonian","Michigan",9218,30661,30.06,9080289,0.1
"Macedonian","Minnesota",74,30661,0.24,5150715,0
"Macedonian","Mississippi",0,30661,0,2541044,0
"Macedonian","Missouri",139,30661,0.45,5508462,0
"Macedonian","Montana",0,30661,0,952635,0
"Macedonian","Nebraska",160,30661,0.52,1776556,0.01
"Macedonian","Nevada",217,30661,0.71,2744626,0.01
"Macedonian","New Hampshire",9,30661,0.03,1234766,0
"Macedonian","New Jersey",4331,30661,14.13,8410259,0.05
"Macedonian","New Mexico",0,30661,0,1800441,0
"Macedonian","New York",3301,30661,10.77,17870301,0.02
"Macedonian","North Carolina",50,30661,0.16,9147135,0
"Macedonian","North Dakota",0,30661,0,691239,0
"Macedonian","Ohio",2601,30661,8.48,10674943,0.02
"Macedonian","Oklahoma",185,30661,0.6,3496942,0.01
"Macedonian","Oregon",246,30661,0.8,3856566,0.01
"Macedonian","Pennsylvania",262,30661,0.85,11689113,0
"Macedonian","Rhode Island",24,30661,0.08,966639,0
"Macedonian","South Carolina",200,30661,0.65,4451500,0
"Macedonian","South Dakota",0,30661,0,780990,0
"Macedonian","Tennessee",151,30661,0.49,6096043,0
"Macedonian","Texas",382,30661,1.25,25732230,0
"Macedonian","Utah",0,30661,0,2890269,0
"Macedonian","Vermont",0,30661,0,563783,0
"Macedonian","Virginia",665,30661,2.17,7632032,0.01
"Macedonian","Washington",292,30661,0.95,6985060,0
"Macedonian","West Virginia",0,30661,0,1562854,0
"Macedonian","Wisconsin",72,30661,0.23,5356572,0
"Macedonian","Wyoming",0,30661,0,516070,0
"Serbocroatian","Alabama",30,24128,0.12,4273154,0
"Serbocroatian","Alaska",34,24128,0.14,643509,0.01
"Serbocroatian","Arizona",616,24128,2.55,6481034,0.01
"Serbocroatian","Arkansas",50,24128,0.21,2656747,0
"Serbocroatian","California",1974,24128,8.18,34885769,0.01
"Serbocroatian","Colorado",290,24128,1.2,5205618,0.01
"Serbocroatian","Connecticut",482,24128,2,3243543,0.01
"Serbocroatian","Delaware",0,24128,0,868386,0
"Serbocroatian","District of Columbia",30,24128,0.12,586792,0.01
"Serbocroatian","Florida",2225,24128,9.22,18666465,0.01
"Serbocroatian","Georgia",280,24128,1.16,9270184,0
"Serbocroatian","Hawaii",30,24128,0.12,1268826,0
"Serbocroatian","Idaho",209,24128,0.87,1608055,0.01
"Serbocroatian","Illinois",2129,24128,8.82,11513071,0.02
"Serbocroatian","Indiana",299,24128,1.24,6051758,0
"Serbocroatian","Iowa",299,24128,1.24,2869061,0.01
"Serbocroatian","Kansas",52,24128,0.22,2631827,0
"Serbocroatian","Kentucky",538,24128,2.23,3999146,0.01
"Serbocroatian","Louisiana",147,24128,0.61,3954844,0
"Serbocroatian","Maine",0,24128,0,1231579,0
"Serbocroatian","Maryland",714,24128,2.96,5533146,0.01
"Serbocroatian","Massachusetts",391,24128,1.62,6355905,0.01
"Serbocroatian","Michigan",1608,24128,6.66,9080289,0.02
"Serbocroatian","Minnesota",337,24128,1.4,5150715,0.01
"Serbocroatian","Mississippi",0,24128,0,2541044,0
"Serbocroatian","Missouri",494,24128,2.05,5508462,0.01
"Serbocroatian","Montana",0,24128,0,952635,0
"Serbocroatian","Nebraska",104,24128,0.43,1776556,0.01
"Serbocroatian","Nevada",280,24128,1.16,2744626,0.01
"Serbocroatian","New Hampshire",52,24128,0.22,1234766,0
"Serbocroatian","New Jersey",937,24128,3.88,8410259,0.01
"Serbocroatian","New Mexico",61,24128,0.25,1800441,0
"Serbocroatian","New York",3230,24128,13.39,17870301,0.02
"Serbocroatian","North Carolina",148,24128,0.61,9147135,0
"Serbocroatian","North Dakota",219,24128,0.91,691239,0.03
"Serbocroatian","Ohio",518,24128,2.15,10674943,0
"Serbocroatian","Oklahoma",100,24128,0.41,3496942,0
"Serbocroatian","Oregon",204,24128,0.85,3856566,0.01
"Serbocroatian","Pennsylvania",592,24128,2.45,11689113,0.01
"Serbocroatian","Rhode Island",24,24128,0.1,966639,0
"Serbocroatian","South Carolina",372,24128,1.54,4451500,0.01
"Serbocroatian","South Dakota",580,24128,2.4,780990,0.07
"Serbocroatian","Tennessee",264,24128,1.09,6096043,0
"Serbocroatian","Texas",490,24128,2.03,25732230,0
"Serbocroatian","Utah",1072,24128,4.44,2890269,0.04
"Serbocroatian","Vermont",667,24128,2.76,563783,0.12
"Serbocroatian","Virginia",449,24128,1.86,7632032,0.01
"Serbocroatian","Washington",123,24128,0.51,6985060,0
"Serbocroatian","West Virginia",120,24128,0.5,1562854,0.01
"Serbocroatian","Wisconsin",264,24128,1.09,5356572,0
"Serbocroatian","Wyoming",0,24128,0,516070,0
"Bosnian","Alabama",133,127639,0.1,4273154,0
"Bosnian","Alaska",0,127639,0,643509,0
"Bosnian","Arizona",3686,127639,2.89,6481034,0.06
"Bosnian","Arkansas",0,127639,0,2656747,0
"Bosnian","California",3998,127639,3.13,34885769,0.01
"Bosnian","Colorado",1693,127639,1.33,5205618,0.03
"Bosnian","Connecticut",2793,127639,2.19,3243543,0.09
"Bosnian","Delaware",0,127639,0,868386,0
"Bosnian","District of Columbia",0,127639,0,586792,0
"Bosnian","Florida",10352,127639,8.11,18666465,0.06
"Bosnian","Georgia",5446,127639,4.27,9270184,0.06
"Bosnian","Hawaii",0,127639,0,1268826,0
"Bosnian","Idaho",1050,127639,0.82,1608055,0.07
"Bosnian","Illinois",10642,127639,8.34,11513071,0.09
"Bosnian","Indiana",1529,127639,1.2,6051758,0.03
"Bosnian","Iowa",8896,127639,6.97,2869061,0.31
"Bosnian","Kansas",100,127639,0.08,2631827,0
"Bosnian","Kentucky",4048,127639,3.17,3999146,0.1
"Bosnian","Louisiana",112,127639,0.09,3954844,0
"Bosnian","Maine",52,127639,0.04,1231579,0
"Bosnian","Maryland",172,127639,0.13,5533146,0
"Bosnian","Massachusetts",1889,127639,1.48,6355905,0.03
"Bosnian","Michigan",8002,127639,6.27,9080289,0.09
"Bosnian","Minnesota",5214,127639,4.08,5150715,0.1
"Bosnian","Mississippi",0,127639,0,2541044,0
"Bosnian","Missouri",12912,127639,10.12,5508462,0.23
"Bosnian","Montana",0,127639,0,952635,0
"Bosnian","Nebraska",729,127639,0.57,1776556,0.04
"Bosnian","Nevada",833,127639,0.65,2744626,0.03
"Bosnian","New Hampshire",766,127639,0.6,1234766,0.06
"Bosnian","New Jersey",936,127639,0.73,8410259,0.01
"Bosnian","New Mexico",26,127639,0.02,1800441,0
"Bosnian","New York",13916,127639,10.9,17870301,0.08
"Bosnian","North Carolina",1912,127639,1.5,9147135,0.02
"Bosnian","North Dakota",285,127639,0.22,691239,0.04
"Bosnian","Ohio",1352,127639,1.06,10674943,0.01
"Bosnian","Oklahoma",125,127639,0.1,3496942,0
"Bosnian","Oregon",544,127639,0.43,3856566,0.01
"Bosnian","Pennsylvania",3379,127639,2.65,11689113,0.03
"Bosnian","Rhode Island",0,127639,0,966639,0
"Bosnian","South Carolina",466,127639,0.37,4451500,0.01
"Bosnian","South Dakota",279,127639,0.22,780990,0.04
"Bosnian","Tennessee",1298,127639,1.02,6096043,0.02
"Bosnian","Texas",4888,127639,3.83,25732230,0.02
"Bosnian","Utah",3081,127639,2.41,2890269,0.11
"Bosnian","Vermont",1823,127639,1.43,563783,0.32
"Bosnian","Virginia",2543,127639,1.99,7632032,0.03
"Bosnian","Washington",4285,127639,3.36,6985060,0.06
"Bosnian","West Virginia",52,127639,0.04,1562854,0
"Bosnian","Wisconsin",1402,127639,1.1,5356572,0.03
"Bosnian","Wyoming",0,127639,0,516070,0
"Croatian","Alabama",373,64140,0.58,4273154,0.01
"Croatian","Alaska",0,64140,0,643509,0
"Croatian","Arizona",1637,64140,2.55,6481034,0.03
"Croatian","Arkansas",12,64140,0.02,2656747,0
"Croatian","California",8942,64140,13.94,34885769,0.03
"Croatian","Colorado",276,64140,0.43,5205618,0.01
"Croatian","Connecticut",907,64140,1.41,3243543,0.03
"Croatian","Delaware",81,64140,0.13,868386,0.01
"Croatian","District of Columbia",139,64140,0.22,586792,0.02
"Croatian","Florida",4375,64140,6.82,18666465,0.02
"Croatian","Georgia",570,64140,0.89,9270184,0.01
"Croatian","Hawaii",17,64140,0.03,1268826,0
"Croatian","Idaho",74,64140,0.12,1608055,0
"Croatian","Illinois",6360,64140,9.92,11513071,0.06
"Croatian","Indiana",624,64140,0.97,6051758,0.01
"Croatian","Iowa",157,64140,0.24,2869061,0.01
"Croatian","Kansas",192,64140,0.3,2631827,0.01
"Croatian","Kentucky",262,64140,0.41,3999146,0.01
"Croatian","Louisiana",346,64140,0.54,3954844,0.01
"Croatian","Maine",0,64140,0,1231579,0
"Croatian","Maryland",640,64140,1,5533146,0.01
"Croatian","Massachusetts",1270,64140,1.98,6355905,0.02
"Croatian","Michigan",1354,64140,2.11,9080289,0.01
"Croatian","Minnesota",408,64140,0.64,5150715,0.01
"Croatian","Mississippi",0,64140,0,2541044,0
"Croatian","Missouri",1355,64140,2.11,5508462,0.02
"Croatian","Montana",30,64140,0.05,952635,0
"Croatian","Nebraska",181,64140,0.28,1776556,0.01
"Croatian","Nevada",744,64140,1.16,2744626,0.03
"Croatian","New Hampshire",70,64140,0.11,1234766,0.01
"Croatian","New Jersey",4596,64140,7.17,8410259,0.05
"Croatian","New Mexico",68,64140,0.11,1800441,0
"Croatian","New York",10574,64140,16.49,17870301,0.06
"Croatian","North Carolina",787,64140,1.23,9147135,0.01
"Croatian","North Dakota",115,64140,0.18,691239,0.02
"Croatian","Ohio",6670,64140,10.4,10674943,0.06
"Croatian","Oklahoma",36,64140,0.06,3496942,0
"Croatian","Oregon",927,64140,1.45,3856566,0.02
"Croatian","Pennsylvania",2157,64140,3.36,11689113,0.02
"Croatian","Rhode Island",104,64140,0.16,966639,0.01
"Croatian","South Carolina",153,64140,0.24,4451500,0
"Croatian","South Dakota",0,64140,0,780990,0
"Croatian","Tennessee",270,64140,0.42,6096043,0
"Croatian","Texas",2557,64140,3.99,25732230,0.01
"Croatian","Utah",775,64140,1.21,2890269,0.03
"Croatian","Vermont",0,64140,0,563783,0
"Croatian","Virginia",1270,64140,1.98,7632032,0.02
"Croatian","Washington",862,64140,1.34,6985060,0.01
"Croatian","West Virginia",4,64140,0.01,1562854,0
"Croatian","Wisconsin",795,64140,1.24,5356572,0.01
"Croatian","Wyoming",24,64140,0.04,516070,0
"Serbian","Alabama",0,99461,0,4273154,0
"Serbian","Alaska",459,99461,0.46,643509,0.07
"Serbian","Arizona",4155,99461,4.18,6481034,0.06
"Serbian","Arkansas",98,99461,0.1,2656747,0
"Serbian","California",9420,99461,9.47,34885769,0.03
"Serbian","Colorado",1218,99461,1.22,5205618,0.02
"Serbian","Connecticut",761,99461,0.77,3243543,0.02
"Serbian","Delaware",174,99461,0.17,868386,0.02
"Serbian","District of Columbia",455,99461,0.46,586792,0.08
"Serbian","Florida",6909,99461,6.95,18666465,0.04
"Serbian","Georgia",1453,99461,1.46,9270184,0.02
"Serbian","Hawaii",154,99461,0.15,1268826,0.01
"Serbian","Idaho",325,99461,0.33,1608055,0.02
"Serbian","Illinois",20494,99461,20.61,11513071,0.18
"Serbian","Indiana",3668,99461,3.69,6051758,0.06
"Serbian","Iowa",323,99461,0.32,2869061,0.01
"Serbian","Kansas",154,99461,0.15,2631827,0.01
"Serbian","Kentucky",265,99461,0.27,3999146,0.01
"Serbian","Louisiana",57,99461,0.06,3954844,0
"Serbian","Maine",89,99461,0.09,1231579,0.01
"Serbian","Maryland",1229,99461,1.24,5533146,0.02
"Serbian","Massachusetts",2160,99461,2.17,6355905,0.03
"Serbian","Michigan",2675,99461,2.69,9080289,0.03
"Serbian","Minnesota",743,99461,0.75,5150715,0.01
"Serbian","Mississippi",72,99461,0.07,2541044,0
"Serbian","Missouri",1078,99461,1.08,5508462,0.02
"Serbian","Montana",0,99461,0,952635,0
"Serbian","Nebraska",522,99461,0.52,1776556,0.03
"Serbian","Nevada",1727,99461,1.74,2744626,0.06
"Serbian","New Hampshire",578,99461,0.58,1234766,0.05
"Serbian","New Jersey",4485,99461,4.51,8410259,0.05
"Serbian","New Mexico",351,99461,0.35,1800441,0.02
"Serbian","New York",9926,99461,9.98,17870301,0.06
"Serbian","North Carolina",959,99461,0.96,9147135,0.01
"Serbian","North Dakota",0,99461,0,691239,0
"Serbian","Ohio",5804,99461,5.84,10674943,0.05
"Serbian","Oklahoma",142,99461,0.14,3496942,0
"Serbian","Oregon",354,99461,0.36,3856566,0.01
"Serbian","Pennsylvania",3336,99461,3.35,11689113,0.03
"Serbian","Rhode Island",0,99461,0,966639,0
"Serbian","South Carolina",58,99461,0.06,4451500,0
"Serbian","South Dakota",27,99461,0.03,780990,0
"Serbian","Tennessee",443,99461,0.45,6096043,0.01
"Serbian","Texas",4236,99461,4.26,25732230,0.02
"Serbian","Utah",242,99461,0.24,2890269,0.01
"Serbian","Vermont",122,99461,0.12,563783,0.02
"Serbian","Virginia",1887,99461,1.9,7632032,0.02
"Serbian","Washington",1734,99461,1.74,6985060,0.02
"Serbian","West Virginia",0,99461,0,1562854,0
"Serbian","Wisconsin",3857,99461,3.88,5356572,0.07
"Serbian","Wyoming",83,99461,0.08,516070,0.02
"Lithuanian","Alabama",154,45717,0.34,4273154,0
"Lithuanian","Alaska",27,45717,0.06,643509,0
"Lithuanian","Arizona",461,45717,1.01,6481034,0.01
"Lithuanian","Arkansas",0,45717,0,2656747,0
"Lithuanian","California",3743,45717,8.19,34885769,0.01
"Lithuanian","Colorado",455,45717,1,5205618,0.01
"Lithuanian","Connecticut",1007,45717,2.2,3243543,0.03
"Lithuanian","Delaware",37,45717,0.08,868386,0
"Lithuanian","District of Columbia",143,45717,0.31,586792,0.02
"Lithuanian","Florida",3307,45717,7.23,18666465,0.02
"Lithuanian","Georgia",745,45717,1.63,9270184,0.01
"Lithuanian","Hawaii",184,45717,0.4,1268826,0.01
"Lithuanian","Idaho",0,45717,0,1608055,0
"Lithuanian","Illinois",16425,45717,35.93,11513071,0.14
"Lithuanian","Indiana",623,45717,1.36,6051758,0.01
"Lithuanian","Iowa",26,45717,0.06,2869061,0
"Lithuanian","Kansas",18,45717,0.04,2631827,0
"Lithuanian","Kentucky",183,45717,0.4,3999146,0
"Lithuanian","Louisiana",48,45717,0.1,3954844,0
"Lithuanian","Maine",134,45717,0.29,1231579,0.01
"Lithuanian","Maryland",771,45717,1.69,5533146,0.01
"Lithuanian","Massachusetts",2424,45717,5.3,6355905,0.04
"Lithuanian","Michigan",1880,45717,4.11,9080289,0.02
"Lithuanian","Minnesota",52,45717,0.11,5150715,0
"Lithuanian","Mississippi",28,45717,0.06,2541044,0
"Lithuanian","Missouri",100,45717,0.22,5508462,0
"Lithuanian","Montana",25,45717,0.05,952635,0
"Lithuanian","Nebraska",160,45717,0.35,1776556,0.01
"Lithuanian","Nevada",378,45717,0.83,2744626,0.01
"Lithuanian","New Hampshire",150,45717,0.33,1234766,0.01
"Lithuanian","New Jersey",1198,45717,2.62,8410259,0.01
"Lithuanian","New Mexico",162,45717,0.35,1800441,0.01
"Lithuanian","New York",3842,45717,8.4,17870301,0.02
"Lithuanian","North Carolina",458,45717,1,9147135,0.01
"Lithuanian","North Dakota",0,45717,0,691239,0
"Lithuanian","Ohio",1354,45717,2.96,10674943,0.01
"Lithuanian","Oklahoma",217,45717,0.47,3496942,0.01
"Lithuanian","Oregon",393,45717,0.86,3856566,0.01
"Lithuanian","Pennsylvania",1219,45717,2.67,11689113,0.01
"Lithuanian","Rhode Island",138,45717,0.3,966639,0.01
"Lithuanian","South Carolina",107,45717,0.23,4451500,0
"Lithuanian","South Dakota",0,45717,0,780990,0
"Lithuanian","Tennessee",145,45717,0.32,6096043,0
"Lithuanian","Texas",720,45717,1.57,25732230,0
"Lithuanian","Utah",98,45717,0.21,2890269,0
"Lithuanian","Vermont",151,45717,0.33,563783,0.03
"Lithuanian","Virginia",515,45717,1.13,7632032,0.01
"Lithuanian","Washington",802,45717,1.75,6985060,0.01
"Lithuanian","West Virginia",0,45717,0,1562854,0
"Lithuanian","Wisconsin",510,45717,1.12,5356572,0.01
"Lithuanian","Wyoming",0,45717,0,516070,0
"Latvian","Alabama",8,17965,0.04,4273154,0
"Latvian","Alaska",96,17965,0.53,643509,0.01
"Latvian","Arizona",149,17965,0.83,6481034,0
"Latvian","Arkansas",20,17965,0.11,2656747,0
"Latvian","California",1680,17965,9.35,34885769,0
"Latvian","Colorado",561,17965,3.12,5205618,0.01
"Latvian","Connecticut",502,17965,2.79,3243543,0.02
"Latvian","Delaware",15,17965,0.08,868386,0
"Latvian","District of Columbia",105,17965,0.58,586792,0.02
"Latvian","Florida",723,17965,4.02,18666465,0
"Latvian","Georgia",523,17965,2.91,9270184,0.01
"Latvian","Hawaii",166,17965,0.92,1268826,0.01
"Latvian","Idaho",114,17965,0.63,1608055,0.01
"Latvian","Illinois",2001,17965,11.14,11513071,0.02
"Latvian","Indiana",848,17965,4.72,6051758,0.01
"Latvian","Iowa",187,17965,1.04,2869061,0.01
"Latvian","Kansas",30,17965,0.17,2631827,0
"Latvian","Kentucky",34,17965,0.19,3999146,0
"Latvian","Louisiana",29,17965,0.16,3954844,0
"Latvian","Maine",56,17965,0.31,1231579,0
"Latvian","Maryland",575,17965,3.2,5533146,0.01
"Latvian","Massachusetts",1229,17965,6.84,6355905,0.02
"Latvian","Michigan",622,17965,3.46,9080289,0.01
"Latvian","Minnesota",818,17965,4.55,5150715,0.02
"Latvian","Mississippi",72,17965,0.4,2541044,0
"Latvian","Missouri",111,17965,0.62,5508462,0
"Latvian","Montana",0,17965,0,952635,0
"Latvian","Nebraska",179,17965,1,1776556,0.01
"Latvian","Nevada",237,17965,1.32,2744626,0.01
"Latvian","New Hampshire",73,17965,0.41,1234766,0.01
"Latvian","New Jersey",778,17965,4.33,8410259,0.01
"Latvian","New Mexico",122,17965,0.68,1800441,0.01
"Latvian","New York",1496,17965,8.33,17870301,0.01
"Latvian","North Carolina",186,17965,1.04,9147135,0
"Latvian","North Dakota",0,17965,0,691239,0
"Latvian","Ohio",698,17965,3.89,10674943,0.01
"Latvian","Oklahoma",0,17965,0,3496942,0
"Latvian","Oregon",223,17965,1.24,3856566,0.01
"Latvian","Pennsylvania",338,17965,1.88,11689113,0
"Latvian","Rhode Island",0,17965,0,966639,0
"Latvian","South Carolina",60,17965,0.33,4451500,0
"Latvian","South Dakota",0,17965,0,780990,0
"Latvian","Tennessee",112,17965,0.62,6096043,0
"Latvian","Texas",242,17965,1.35,25732230,0
"Latvian","Utah",72,17965,0.4,2890269,0
"Latvian","Vermont",120,17965,0.67,563783,0.02
"Latvian","Virginia",679,17965,3.78,7632032,0.01
"Latvian","Washington",709,17965,3.95,6985060,0.01
"Latvian","West Virginia",0,17965,0,1562854,0
"Latvian","Wisconsin",367,17965,2.04,5356572,0.01
"Latvian","Wyoming",0,17965,0,516070,0
"Armenian","Alabama",32,267201,0.01,4273154,0
"Armenian","Alaska",0,267201,0,643509,0
"Armenian","Arizona",2532,267201,0.95,6481034,0.04
"Armenian","Arkansas",21,267201,0.01,2656747,0
"Armenian","California",209100,267201,78.26,34885769,0.6
"Armenian","Colorado",2142,267201,0.8,5205618,0.04
"Armenian","Connecticut",1086,267201,0.41,3243543,0.03
"Armenian","Delaware",0,267201,0,868386,0
"Armenian","District of Columbia",444,267201,0.17,586792,0.08
"Armenian","Florida",2517,267201,0.94,18666465,0.01
"Armenian","Georgia",545,267201,0.2,9270184,0.01
"Armenian","Hawaii",104,267201,0.04,1268826,0.01
"Armenian","Idaho",283,267201,0.11,1608055,0.02
"Armenian","Illinois",3074,267201,1.15,11513071,0.03
"Armenian","Indiana",119,267201,0.04,6051758,0
"Armenian","Iowa",65,267201,0.02,2869061,0
"Armenian","Kansas",0,267201,0,2631827,0
"Armenian","Kentucky",100,267201,0.04,3999146,0
"Armenian","Louisiana",133,267201,0.05,3954844,0
"Armenian","Maine",27,267201,0.01,1231579,0
"Armenian","Maryland",2018,267201,0.76,5533146,0.04
"Armenian","Massachusetts",7109,267201,2.66,6355905,0.11
"Armenian","Michigan",2205,267201,0.83,9080289,0.02
"Armenian","Minnesota",210,267201,0.08,5150715,0
"Armenian","Mississippi",0,267201,0,2541044,0
"Armenian","Missouri",61,267201,0.02,5508462,0
"Armenian","Montana",0,267201,0,952635,0
"Armenian","Nebraska",149,267201,0.06,1776556,0.01
"Armenian","Nevada",3806,267201,1.42,2744626,0.14
"Armenian","New Hampshire",192,267201,0.07,1234766,0.02
"Armenian","New Jersey",5434,267201,2.03,8410259,0.06
"Armenian","New Mexico",150,267201,0.06,1800441,0.01
"Armenian","New York",9358,267201,3.5,17870301,0.05
"Armenian","North Carolina",434,267201,0.16,9147135,0
"Armenian","North Dakota",0,267201,0,691239,0
"Armenian","Ohio",1065,267201,0.4,10674943,0.01
"Armenian","Oklahoma",0,267201,0,3496942,0
"Armenian","Oregon",1163,267201,0.44,3856566,0.03
"Armenian","Pennsylvania",3055,267201,1.14,11689113,0.03
"Armenian","Rhode Island",959,267201,0.36,966639,0.1
"Armenian","South Carolina",285,267201,0.11,4451500,0.01
"Armenian","South Dakota",0,267201,0,780990,0
"Armenian","Tennessee",115,267201,0.04,6096043,0
"Armenian","Texas",2080,267201,0.78,25732230,0.01
"Armenian","Utah",900,267201,0.34,2890269,0.03
"Armenian","Vermont",24,267201,0.01,563783,0
"Armenian","Virginia",1639,267201,0.61,7632032,0.02
"Armenian","Washington",1864,267201,0.7,6985060,0.03
"Armenian","West Virginia",0,267201,0,1562854,0
"Armenian","Wisconsin",602,267201,0.23,5356572,0.01
"Armenian","Wyoming",0,267201,0,516070,0
"Farsi","Alabama",1377,496797,0.28,4273154,0.03
"Farsi","Alaska",312,496797,0.06,643509,0.05
"Farsi","Arizona",8746,496797,1.76,6481034,0.13
"Farsi","Arkansas",762,496797,0.15,2656747,0.03
"Farsi","California",230076,496797,46.31,34885769,0.66
"Farsi","Colorado",6820,496797,1.37,5205618,0.13
"Farsi","Connecticut",3107,496797,0.63,3243543,0.1
"Farsi","Delaware",657,496797,0.13,868386,0.08
"Farsi","District of Columbia",1901,496797,0.38,586792,0.32
"Farsi","Florida",12934,496797,2.6,18666465,0.07
"Farsi","Georgia",9778,496797,1.97,9270184,0.11
"Farsi","Hawaii",751,496797,0.15,1268826,0.06
"Farsi","Idaho",786,496797,0.16,1608055,0.05
"Farsi","Illinois",10331,496797,2.08,11513071,0.09
"Farsi","Indiana",1806,496797,0.36,6051758,0.03
"Farsi","Iowa",869,496797,0.17,2869061,0.03
